DFB	BB DRUDE
mm	3 mm central line
	LEAN 500
-5	-1
-4	1740.139
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	1286.644
3	1607.359
4	1764.3785
5	1702.0545
6	1676.518
7	1693.901
8	1729.54
9	1842.63
10	1885.3665
11	1884.8195
12	1865.2435
13	1891.136
14	1850.813
15	1969.4445
16	1835.077
17	2053.5705
18	1768.6125
19	1754.5135
20	1703.5815
21	1680.0335
22	1825.976
23	1790.6535
24	1691.649
25	1681.1355
26	1590.782
27	1710.6755
28	1665.5455
29	1508.82
30	1394.8785
31	1701.448
32	1441.1755
33	1401.628
34	1336.7795
35	1375.583
36	1378.1165
37	1391.491
38	1304.374
39	1261.817
40	1287.5065
41	1264.0825
42	1302.9785
43	1446.412
44	1407.9325
45	1633.994
