lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	1592.538	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	1593.696	1359.079	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1322.052	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	582.071	747.389	-1	-1	1249.698	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1249.698	-1	-1	747.389	582.071	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1322.052	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-3	1349.35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1121.225	1285.127	1417.888	-1	-1	-1	-1	-1	-1	-1	-1	-1	587.415	1047.101	788.38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	788.38	1047.101	587.415	-1	-1	-1	-1	-1	-1	-1	-1	-1	1417.888	1285.127	1121.225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-2	1498.595	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1649.955	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1649.955	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	1534.948	1510.616	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1240.434	1097.636	-1	-1	1277.51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	780.263	1484.259	-1	1576.947	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1576.947	-1	1484.259	780.263	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1277.51	-1	-1	1097.636	1240.434	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	1535.415	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1310.602	1413.756	1362.825	1330.349	1247.418	-1	1394.251	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1394.251	-1	1247.418	1330.349	1362.825	1413.756	1310.602	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	1451.603	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1242.356	1029.172	1377.963	619.531	-1	-1	-1	-1	-1	-1	-1	1590.418	-1	1662.506	1634.965	1626.402	-1	-1	-1	1690.649	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1690.649	-1	-1	-1	1626.402	1634.965	1662.506	-1	1590.418	-1	-1	-1	-1	-1	-1	-1	619.531	1377.963	1029.172	1242.356	-1	-1	-1	-1	-1	-1	-1	-1	-1
