lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	1803.936	1666.772	1636.939	1642.452	1672.48	1743.331	1804.004	-1	2070.372	1982.382	1993.186	1674.263	1979.931	1602.328	1513.201	1354.208	1502.76	1650.824	1637.182	1639.099	1833.306	1919.613	1832.933	1850.77	1964.517	1658.061	1805.289	1688.835	1756.266	1697.084	1670.06	1671.096	-1	1682.851	1598.512	1510.85	1495.903	1546.854	1585.473	1585.473	1546.854	1495.903	1510.85	1598.512	1682.851	-1	1671.096	1670.06	1697.084	1756.266	1688.835	1805.289	1658.061	1964.517	1850.77	1832.933	1919.613	1833.306	1639.099	1637.182	1650.824	1502.76	1354.208	1513.201	1602.328	1979.931	1674.263	1993.186	1982.382	2070.372	-1	1804.004	1743.331	1672.48	1642.452
-4	1568.882	1647.575	1691.798	1668.547	1639.865	1669.582	1655.395	1435.761	1134.037	1321.23	1256.776	1533.584	1786.963	1544.672	1659.588	1770.083	1627.815	1894.631	1708.887	1846.002	1937.837	1807.875	-1	1993.657	1772.835	1799.143	1928.668	1878.2	1644.634	1631.626	1503.472	1441.53	1197.051	1321.074	1411.124	1494.438	1503.956	1443.966	1384.331	1384.331	1443.966	1503.956	1494.438	1411.124	1321.074	1197.051	1441.53	1503.472	1631.626	1644.634	1878.2	1928.668	1799.143	1772.835	1993.657	-1	1807.875	1937.837	1846.002	1708.887	1894.631	1627.815	1770.083	1659.588	1544.672	1786.963	1533.584	1256.776	1321.23	1134.037	1435.761	1655.395	1669.582	1639.865	1668.547
-3	1871.848	1574.137	1643.549	1699.918	1756.742	1792.956	1795.128	1876.546	1714.603	1593.52	1548.964	1509	1627.244	1548.746	1456.746	1367.587	1556.123	1402.798	1539.605	1269.126	1328.562	1041.915	1589.261	1530.721	1462.189	1604.499	1727.88	1637.149	1672.411	1771.726	1814.587	1771.236	1934.729	1921.085	1920.416	1937.015	1935.189	1915.35	1912.946	1912.946	1915.35	1935.189	1937.015	1920.416	1921.085	1934.729	1771.236	1814.587	1771.726	1672.411	1637.149	1727.88	1604.499	1462.189	1530.721	1589.261	1041.915	1328.562	1269.126	1539.605	1402.798	1556.123	1367.587	1456.746	1548.746	1627.244	1509	1548.964	1593.52	1714.603	1876.546	1795.128	1792.956	1756.742	1699.918
-2	1579.26	1789.788	1807.837	1818.159	1791.549	1745.971	1727.228	1734.314	1796.393	1777.576	1564.97	1585.414	1584.5	1391.185	1316.976	1372.895	1392.082	1166.178	1370.173	1669.128	1778.43	1850.881	1781.636	1891.062	1751.454	-1	-1	-1	-1	-1	-1	1940.247	1768.833	1697.746	1656.87	1624.442	1612.113	1628.508	1654.407	1654.407	1628.508	1612.113	1624.442	1656.87	1697.746	1768.833	1940.247	-1	-1	-1	-1	-1	-1	1751.454	1891.062	1781.636	1850.881	1778.43	1669.128	1370.173	1166.178	1392.082	1372.895	1316.976	1391.185	1584.5	1585.414	1564.97	1777.576	1796.393	1734.314	1727.228	1745.971	1791.549	1818.159
-1	2016.938	1370.55	1475.482	1564.919	1663.987	1763.536	1811.67	1777.929	1813.969	1512.961	1688.053	1241.636	1201.199	1101.782	891.727	1167.327	1301.157	1196.021	1028.842	1275.573	1654.756	1890.391	-1	-1	1692.542	-1	-1	1728.149	1828.026	1832.414	2014.453	2102.325	-1	-1	1992.829	-1	-1	1978.654	-1	-1	1978.654	-1	-1	1992.829	-1	-1	2102.325	2014.453	1832.414	1828.026	1728.149	-1	-1	1692.542	-1	-1	1890.391	1654.756	1275.573	1028.842	1196.021	1301.157	1167.327	891.727	1101.782	1201.199	1241.636	1688.053	1512.961	1813.969	1777.929	1811.67	1763.536	1663.987	1564.919
0	1426.33	1541.717	1559.298	1604.466	1620.868	1630.054	1646.985	1757.444	1721.132	1602.609	1731.377	1705.52	1394.89	1142.566	1049.971	1040.444	1006.697	1060.855	1267.824	1450.182	1822.788	1699.031	-1	-1	-1	-1	-1	-1	-1	2059.674	2201.787	2214.781	-1	2177.135	2125.547	2031.396	2023.232	2099.336	2128.843	2128.843	2099.336	2023.232	2031.396	2125.547	2177.135	-1	2214.781	2201.787	2059.674	-1	-1	-1	-1	-1	-1	-1	1699.031	1822.788	1450.182	1267.824	1060.855	1006.697	1040.444	1049.971	1142.566	1394.89	1705.52	1731.377	1602.609	1721.132	1757.444	1646.985	1630.054	1620.868	1604.466
1	1186.327	1439.844	1531.364	1661.224	1705.997	1720.244	1715.848	1812.119	1867.899	1822.4	1952.82	1317.73	1409.648	1271.882	1068.16	1233.164	1132.242	1104.824	1244.641	1305.572	1284.242	1966.249	-1	1134.062	-1	-1	-1	-1	-1	-1	2046.923	1951.174	1931.417	2020.857	2019.606	1973.068	1982.342	2043.558	2061.824	2061.824	2043.558	1982.342	1973.068	2019.606	2020.857	1931.417	1951.174	2046.923	-1	-1	-1	-1	-1	-1	1134.062	-1	1966.249	1284.242	1305.572	1244.641	1104.824	1132.242	1233.164	1068.16	1271.882	1409.648	1317.73	1952.82	1822.4	1867.899	1812.119	1715.848	1720.244	1705.997	1661.224
