DFB	BB DRUDE
mm	3 mm central line
	STO 500
-5	1566.1635
-4	1414.1485
-3	1914.148
-2	1641.4575
-1	988.827
0	2114.0895
1	2052.691
2	1744.4615
3	1840.157
4	1430.504
5	1653.5715
6	1691.1205
7	1722.438
8	1766.197
9	1828.917
10	1916.1635
11	2382.213
12	-1
13	-1
14	-1
15	-1
16	1177.005
17	-1
18	588.007
19	1177.003
20	-1
21	-1
22	-1
23	588.003
24	-1
25	-1
26	1177.004
27	-1
28	588.0065
29	-1
30	-1
31	-1
32	-1
33	-1
34	1220.7845
35	866.7785
36	1245.849
37	1933.1385
38	1652.336
39	2295.861
40	1777.4955
41	1576.3065
42	967.713
43	2127.417
44	2058.1605
45	1587.749
