DFB	BB TEMP DRUDE
mm	3 mm central line
	EXL 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	-1
3	1376.692
4	-1
5	-1
6	650.0225
7	-1
8	-1
9	-1
10	-1
11	1657.5985
12	1737.2975
13	1666.241
14	1712.9905
15	1746.459
16	1798.9005
17	1823.2065
18	1844.1505
19	1855.3655
20	1854.437
21	1840.87
22	1821.359
23	1776.0115
24	1744.6715
25	1712.6765
26	1668.1725
27	1598.141
28	1581.4305
29	1529.118
30	1486.8025
31	1436.21
32	1374.919
33	1451.9265
34	1479.9365
35	1431.4815
36	1399.0025
37	1305.3845
38	1354.721
39	1163.769
40	1477.544
41	1419.2185
42	1188.835
43	1259.6095
44	1323.2205
45	1277.367
