DFB	BB TEMP HENNING
mm	3 mm central line
	LEAN 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	1461.2235
3	1872.9915
4	2071.8725
5	1990.038
6	1957.4385
7	1979.4775
8	2024.884
9	2172.832
10	2233.217
11	2232.502
12	2202.8655
13	2239.257
14	2186.4795
15	2342.3235
16	2164.9125
17	-1
18	2082.718
19	2063.154
20	1997.636
21	1965.08
22	2147.017
23	2100.31
24	1975.5475
25	1964.4965
26	1847.695
27	1997.931
28	1940.3105
29	1747.7525
30	1602.684
31	1981.426
32	1654.815
33	1603.92
34	1523.8085
35	1570.098
36	1570.0875
37	1592.031
38	1478.304
39	1427.8105
40	1455.559
41	1428.7755
42	1474.6685
43	1653.3935
44	1605.1785
45	-1
