lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1265.26	1047.788	-1	-1	1126.528	1158.181	1160.549	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1160.549	1158.181	1126.528	-1	-1	1047.788	1265.26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1437.32	1357.689	-1	1362.722	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1362.722	-1	1357.689	1437.32	-1	-1	-1	-1	-1	-1	-1	-1	-1
-3	-1	-1	-1	-1	-1	-1	-1	-1	1294.562	1118.69	1060.267	1004.841	1047.702	956.335	951.457	740.533	509.706	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	509.706	740.533	951.457	956.335	1047.702	1004.841	1060.267	1118.69	1294.562	-1	-1	-1	-1	-1
-2	-1	-1	-1	-1	-1	-1	-1	-1	1065.332	992.47	1002.11	955.779	998.306	988.108	893.802	904.004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	904.004	893.802	988.108	998.306	955.779	1002.11	992.47	1065.332	-1	-1	-1	-1	-1
-1	-1	1553.263	-1	-1	-1	-1	-1	564.173	745.28	844.017	870.061	883.942	897.37	901.939	903.54	837.949	828.691	570.295	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	570.295	828.691	837.949	903.54	901.939	897.37	883.942	870.061	844.017	745.28	564.173	-1	-1	-1	-1
0	-1	1018.773	1267.51	-1	-1	-1	-1	858.704	895.591	891.339	893.107	883.068	890.112	887.219	857.117	866.501	839.371	850.389	832.525	852.529	892.373	887.594	880.973	929.052	989.919	915.576	859.509	942.079	909.576	1002.638	1013.491	1238.024	1412.357	1568.337	1596.395	1493.035	1518.113	1665.511	1674.961	1674.961	1665.511	1518.113	1493.035	1596.395	1568.337	1412.357	1238.024	1013.491	1002.638	909.576	942.079	859.509	915.576	989.919	929.052	880.973	887.594	892.373	852.529	832.525	850.389	839.371	866.501	857.117	887.219	890.112	883.068	893.107	891.339	895.591	858.704	-1	-1	-1	-1
1	-1	1301.453	1600.522	-1	-1	-1	-1	844.746	916.998	914.779	905.116	907.188	909.429	892.132	891.027	887.521	885.373	884.554	892.945	918.028	952.409	961.509	946.744	986.703	1002.919	998.33	1019.732	1068.743	1088.406	1165.99	1318.646	1315.618	1519.285	1535.059	1503.247	1360.943	1361.493	1509.22	1546.078	1546.078	1509.22	1361.493	1360.943	1503.247	1535.059	1519.285	1315.618	1318.646	1165.99	1088.406	1068.743	1019.732	998.33	1002.919	986.703	946.744	961.509	952.409	918.028	892.945	884.554	885.373	887.521	891.027	892.132	909.429	907.188	905.116	914.779	916.998	844.746	-1	-1	-1	-1
