lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	1757.898	-1	-1	-1	-1	-1	-1	1597.668	1226.704	1455.041	1378.463	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1678.48	1604.595	1310.249	1460.45	1570.311	-1	-1	1610.407	1537.474	1537.474	1610.407	-1	-1	1570.311	1460.45	1310.249	1604.595	1678.48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1378.463	1455.041	1226.704	1597.668	-1	-1	-1	-1
-3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1514.049	-1	-1	-1	1396.217	-1	1124.188	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1124.188	-1	1396.217	-1	-1	-1	1514.049	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-2	1772.922	-1	-1	-1	-1	-1	-1	-1	-1	-1	1755.029	-1	1781.504	1545.501	1456.434	1524.479	1547.84	1272.782	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1272.782	1547.84	1524.479	1456.434	1545.501	1781.504	-1	1755.029	-1	-1	-1	-1	-1	-1	-1
-1	-1	1521.334	1648.554	1757.065	-1	-1	-1	-1	-1	-1	-1	1361.225	1313.201	1195.015	946.855	1274.68	1436.957	1309.911	1109.956	1407.283	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1407.283	1109.956	1309.911	1436.957	1274.68	946.855	1195.015	1313.201	1361.225	-1	-1	-1	-1	-1	-1	-1	1757.065
0	1582.282	1728.722	1750.553	1806.342	-1	-1	-1	-1	-1	-1	-1	-1	1549.815	1242.661	1131.941	1122.237	1083.551	1147.226	1396.258	1617.673	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1617.673	1396.258	1147.226	1083.551	1122.237	1131.941	1242.661	1549.815	-1	-1	-1	-1	-1	-1	-1	-1	1806.342
1	1291.644	1607.388	1718.911	-1	-1	-1	-1	-1	-1	-1	-1	1453.267	1564.909	1401.102	1154.894	1355.074	1233.353	1201.555	1368.007	1441.058	1412.887	-1	-1	1229.197	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1229.197	-1	-1	1412.887	1441.058	1368.007	1201.555	1233.353	1355.074	1154.894	1401.102	1564.909	1453.267	-1	-1	-1	-1	-1	-1	-1	-1
