DFB	BB TEMP HENNING
mm	3 mm central line
	EXL 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	-1
3	-1
4	-1
5	-1
6	-1
7	-1
8	-1
9	-1
10	-1
11	-1
12	-1
13	1940.4315
14	1998.7755
15	2042.4945
16	2110.4755
17	2142.3555
18	2170.114
19	2185.043
20	2183.8125
21	2165.825
22	2140.1565
23	2081.296
24	2041.2715
25	1998.113
26	1940.749
27	1851.884
28	1829.076
29	1761.6945
30	1707.8525
31	1643.114
32	1566.731
33	1661.2775
34	1695.0145
35	1636.5895
36	1596.2535
37	1478.4035
38	1539.185
39	1301.726
40	-1
41	-1
42	-1
43	-1
44	-1
45	-1
