DFB	BB TEMP SHVAREV
mm	3 mm central line
	LEAN 700
-5	1715.677
-4	-1
-3	-1
-2	-1
-1	-1
0	1778.701
1	1634.287
2	1904.0165
3	2331.7475
4	2116.145
5	2132.2485
6	2282.2555
7	2425.352
8	2915.78
9	2946.599
10	-1
11	-1
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	1326.791
25	-1
26	2206.4465
27	2412.558
28	2522.161
29	2305.326
30	2226.124
31	1919.1475
32	1949.8595
33	1447.763
34	1544.8175
35	2129.7075
36	1910.0115
37	1744.697
38	-1
39	950.3065
40	-1
41	-1
42	-1
43	877.2135
44	-1
45	-1
