lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	2077.418	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1572.852	1659.827	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1424.954	-1	-1	825.618	1438.333	1432.162	1120.068	-1	-1	1120.068	1432.162	1438.333	825.618	-1	-1	1424.954	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1659.827	1572.852	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	1785.056	1851.126	1892.397	1882.964	1873.315	1944.633	1965.951	1765.532	1550.022	1721.553	1737.945	-1	1837.412	1518.841	1348.093	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1894.411	1821.171	1671.431	1751.48	1814.756	1794.108	1802.323	1837.134	1793.305	1793.305	1837.134	1802.323	1794.108	1814.756	1751.48	1671.431	1821.171	1894.411	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1348.093	1518.841	1837.412	-1	1737.945	1721.553	1550.022	1765.532	1965.951	1944.633	1873.315	1882.964
-3	2025.013	1837.972	1910.924	2012.412	-1	-1	-1	2003.55	1693.88	1479.023	1388.886	1336.761	1764.234	1624.74	1537.601	1813.783	-1	-1	-1	1641.46	1672.15	1572.613	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1572.613	1672.15	1641.46	-1	-1	-1	1813.783	1537.601	1624.74	1764.234	1336.761	1388.886	1479.023	1693.88	2003.55	-1	-1	-1	2012.412
-2	1674.123	-1	-1	-1	-1	-1	-1	-1	-1	2031.698	1732.126	1646.793	1697.793	1088.863	981.857	1437.415	1732.925	1425.358	1418.622	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1418.622	1425.358	1732.925	1437.415	981.857	1088.863	1697.793	1646.793	1732.126	2031.698	-1	-1	-1	-1	-1	-1
-1	2207.719	1644.512	1739.42	1868.986	1997.134	-1	-1	2063.724	1977.534	1373.05	1803.63	1378.782	1357.652	1257.54	1085.419	1217.81	1496.008	1519.843	1407.441	1658.21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1658.21	1407.441	1519.843	1496.008	1217.81	1085.419	1257.54	1357.652	1378.782	1803.63	1373.05	1977.534	2063.724	-1	-1	1997.134	1868.986
0	1242.862	1693.711	1715.007	1841.144	1889.708	-1	-1	1586.541	1914.021	1740.436	1927.194	1857.926	1400.686	1231.939	1194.977	1203.744	1150.981	1248.716	1398.858	1647.666	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1647.666	1398.858	1248.716	1150.981	1203.744	1194.977	1231.939	1400.686	1857.926	1927.194	1740.436	1914.021	1586.541	-1	-1	1889.708	1841.144
1	1387.736	524.783	1160.885	1581.066	1792.911	1920.334	1972.532	-1	-1	-1	-1	1337.504	1575.512	1336.93	950.841	1331.081	1247.2	1291.189	1336.363	1307.015	1416.561	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1416.561	1307.015	1336.363	1291.189	1247.2	1331.081	950.841	1336.93	1575.512	1337.504	-1	-1	-1	-1	1972.532	1920.334	1792.911	1581.066
