DFB	BB TEMP SHVAREV
mm	3 mm central line
	STO 500
-5	559.534
-4	1815.2195
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	2145.732
3	2341.1445
4	1767.144
5	1956.176
6	2000.3625
7	2051.8635
8	2114.3495
9	2197.0245
10	2326.3915
11	3060.4585
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	-1
27	-1
28	-1
29	-1
30	-1
31	-1
32	-1
33	-1
34	-1
35	-1
36	-1
37	-1
38	2220.691
39	-1
40	2297.651
41	1064.329
42	1768.4885
43	-1
44	-1
45	-1
