DFB	BB TEMP SHVAREV
mm	3 mm central line
	EXL 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	-1
3	-1
4	-1
5	-1
6	-1
7	-1
8	-1
9	-1
10	-1
11	-1
12	2184.2035
13	2087.47
14	2151.997
15	2201.6805
16	2278.703
17	2315.069
18	2346.9125
19	2364.0675
20	2362.853
21	2342.29
22	2313.124
23	2246.4765
24	2201.7905
25	2152.5395
26	2089.227
27	1990.278
28	1964.827
29	1889.7935
30	1831.735
31	1760.466
32	1678.5635
33	1780.702
34	1815.4885
35	1754.1925
36	1706.1475
37	1580.087
38	1646.3495
39	1390.3795
40	1808.6655
41	1730.0645
42	1420.7705
43	1516.577
44	790.1105
45	-1
