DFB	BB TEMP TRIAUD FE2O3
mm	3 mm central line
	LEAN 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	1285.285
3	1601.43
4	1754.5245
5	1693.631
6	1668.6825
7	1685.622
8	1720.3885
9	1830.881
10	1872.921
11	1872.4215
12	1852.968
13	1878.298
14	1839.05
15	1954.4505
16	1823.8055
17	2036.065
18	1759.5795
19	1745.415
20	1696.326
21	1673.019
22	1814.2505
23	1779.8635
24	1683.321
25	1673.3965
26	1585.1395
27	1701.695
28	1657.7545
29	1505.3595
30	1393.3435
31	1692.0935
32	1437.8495
33	1398.9205
34	1335.1075
35	1372.977
36	1375.1005
37	1388.6635
38	1302.273
39	1260.4225
40	1285.5115
41	1262.1685
42	1300.479
43	1441.51
44	1403.7415
45	-1
