DFB	BB TEMP TRIAUD FE2O3
mm	3 mm central line
	RICH 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	1727.123
3	1655.083
4	1704.149
5	1711.0855
6	1711.242
7	1726.944
8	1732.2005
9	1749.1105
10	1042.3065
11	-1
12	-1
13	-1
14	-1
15	-1
16	1753.371
17	-1
18	1590.8685
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	783.187
27	-1
28	-1
29	-1
30	-1
31	-1
32	-1
33	-1
34	-1
35	-1
36	-1
37	-1
38	-1
39	1465.8445
40	1159.5415
41	1299.7015
42	-1
43	-1
44	1292.027
45	-1
