DFB	BB TEMP TRIAUD FE2O3
mm	3 mm central line
	STO 500
-5	1563.256
-4	1412.3635
-3	1907.101
-2	1637.6205
-1	-1
0	-1
1	-1
2	1740.013
3	1834.576
4	1429.86
5	1650.4435
6	1687.508
7	1718.4225
8	1761.6435
9	1823.5565
10	1909.63
11	2368.2495
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	-1
27	-1
28	-1
29	-1
30	-1
31	-1
32	-1
33	-1
34	-1
35	867.643
36	-1
37	1924.05
38	1648.212
39	-1
40	1771.2225
41	1573.6685
42	968.888
43	-1
44	-1
45	1584.278
