lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	1084.256	1051.935	1019.552	-1	-1	-1	-1	-1	-1	-1	1580.777	1491.594	1520.406	1499.046	1254.995	1386.607	1693.741	1655.861	1566.688	1770.369	1812.647	1763.149	1632.703	1705.5	1282.797	1512.806	1366.245	1328.434	1655.25	1692.766	1611.924	1533.544	1669.37	1665.065	1624.113	1634.401	1692.07	1714.617	1714.617	1692.07	1634.401	1624.113	1665.065	1669.37	1533.544	1611.924	1692.766	1655.25	1328.434	1366.245	1512.806	1282.797	1705.5	1632.703	1763.149	1812.647	1770.369	1566.688	1655.861	1693.741	1386.607	1254.995	1499.046	1520.406	1491.594	1580.777	-1	-1	-1	-1	-1	-1	-1	1019.552
-4	-1	1177.006	1149.268	1149.428	-1	-1	-1	2261.197	2002.94	1875.553	1567.161	1578.499	1545.092	1502.166	1660.503	1618.142	1539.988	1301.312	1667.475	1326.054	1172.245	1192.29	1173.754	1420.258	1388.067	1399.921	1266.528	1195.716	1259.455	1300.045	1359.865	1520.875	1704.074	1720.236	1721.836	1671.902	1673.5	1730.245	1733.121	1733.121	1730.245	1673.5	1671.902	1721.836	1720.236	1704.074	1520.875	1359.865	1300.045	1259.455	1195.716	1266.528	1399.921	1388.067	1420.258	1173.754	1192.29	1172.245	1326.054	1667.475	1301.312	1539.988	1618.142	1660.503	1502.166	1545.092	1578.499	1567.161	1875.553	2002.94	2261.197	-1	-1	-1	1149.428
-3	-1	1457.877	1392.707	1281.91	-1	-1	-1	2110.498	1842.956	1734.287	1636.469	1604.576	1416.107	1614.431	1674.946	1683.736	1483.634	1367.259	1444.65	1334.24	1302.016	1340.174	1265.104	1280.956	1252.232	1659.344	1374.904	1465.351	1347.028	1179.687	1531.433	1693.808	1684.418	1700.912	1708.611	1731.444	1732.85	1713.571	1709.398	1709.398	1713.571	1732.85	1731.444	1708.611	1700.912	1684.418	1693.808	1531.433	1179.687	1347.028	1465.351	1374.904	1659.344	1252.232	1280.956	1265.104	1340.174	1302.016	1334.24	1444.65	1367.259	1483.634	1683.736	1674.946	1614.431	1416.107	1604.576	1636.469	1734.287	1842.956	2110.498	-1	-1	-1	1281.91
-2	-1	-1	-1	-1	-1	-1	-1	2105.559	1844.076	1768.874	1683.947	1633.981	1535.275	1437.491	1478.937	1318.915	1202.998	1375.601	1352.69	1392.029	1370.175	1252.882	1280.108	1213.484	1165.398	1204.068	1271.241	1174.78	1132.621	1269.167	1470.397	1530.486	1459.004	1356.727	1311.601	1298.383	1279.616	1253.628	1267.026	1267.026	1253.628	1279.616	1298.383	1311.601	1356.727	1459.004	1530.486	1470.397	1269.167	1132.621	1174.78	1271.241	1204.068	1165.398	1213.484	1280.108	1252.882	1370.175	1392.029	1352.69	1375.601	1202.998	1318.915	1478.937	1437.491	1535.275	1633.981	1683.947	1768.874	1844.076	2105.559	-1	-1	-1	-1
-1	2086.221	1140.199	1134.381	-1	-1	-1	2179.478	1999.382	1809.517	1702.954	1587.466	1441.909	1277.047	1374.957	1306.216	1358.127	1305.432	1428.11	1258.096	1247.51	1203.332	1319.379	1426.389	1400.548	1468.519	1370.849	1623.514	1366.371	1164.441	1190.968	1437.721	1514.127	1429.118	1458.055	1425.311	1377.981	1382.096	1436.823	1476.72	1476.72	1436.823	1382.096	1377.981	1425.311	1458.055	1429.118	1514.127	1437.721	1190.968	1164.441	1366.371	1623.514	1370.849	1468.519	1400.548	1426.389	1319.379	1203.332	1247.51	1258.096	1428.11	1305.432	1358.127	1306.216	1374.957	1277.047	1441.909	1587.466	1702.954	1809.517	1999.382	2179.478	-1	-1	-1
0	2127.298	1245.462	1215.326	1122.91	-1	-1	2228.485	1968.308	1809.262	1722.444	1694.354	1555.809	1417.832	1426.491	1385.641	1309.674	1278.733	1309.132	1621.12	1645.271	1610.648	1730.999	1673.428	1418.853	1339.606	1198.395	1233.521	1167.537	1151.3	1162.31	1314.008	1405.892	1484.541	1503.449	1546.245	1510.121	1512.472	1551.318	1513.869	1513.869	1551.318	1512.472	1510.121	1546.245	1503.449	1484.541	1405.892	1314.008	1162.31	1151.3	1167.537	1233.521	1198.395	1339.606	1418.853	1673.428	1730.999	1610.648	1645.271	1621.12	1309.132	1278.733	1309.674	1385.641	1426.491	1417.832	1555.809	1694.354	1722.444	1809.262	1968.308	2228.485	-1	-1	1122.91
1	-1	1289.945	1240.902	1177.001	-1	-1	-1	2158.612	1871.495	1782.446	1669.251	1627.626	1528.257	1508.44	1528.017	1424.036	1557.245	1403.13	1422.433	1398.97	1416.09	1617.107	1532.141	1464.998	1540.624	1581.81	1501.258	1231.125	1288.163	1423.59	1432.072	1479.038	1489.105	1471.024	1458.761	1421.872	1416.535	1446.843	1455.184	1455.184	1446.843	1416.535	1421.872	1458.761	1471.024	1489.105	1479.038	1432.072	1423.59	1288.163	1231.125	1501.258	1581.81	1540.624	1464.998	1532.141	1617.107	1416.09	1398.97	1422.433	1403.13	1557.245	1424.036	1528.017	1508.44	1528.257	1627.626	1669.251	1782.446	1871.495	2158.612	-1	-1	-1	1177.001
