lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1345.883	1093.158	-1	1322.392	1189.644	1219.971	1218.512	1538.52	-1	-1	-1	-1	1772.472	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1772.472	-1	-1	-1	-1	1538.52	1218.512	1219.971	1189.644	1322.392	-1	1093.158	1345.883	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	-1	-1	-1	-1	-1	-1	-1	-1	-1	1641.166	-1	1679.577	1506.993	1386.509	-1	1455.671	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1455.671	-1	1386.509	1506.993	1679.577	-1	1641.166	-1	-1	-1	-1	-1	-1
-3	-1	-1	-1	-1	-1	-1	-1	-1	1369.593	1171.187	1097.768	1032.985	1083.785	984.391	975.892	754.935	515.609	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	515.609	754.935	975.892	984.391	1083.785	1032.985	1097.768	1171.187	1369.593	-1	-1	-1	-1	-1
-2	-1	1733.258	-1	-1	-1	-1	-1	-1	1102.717	1028.107	1040.328	987.739	1035.827	1024.032	921.671	932.75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	932.75	921.671	1024.032	1035.827	987.739	1040.328	1028.107	1102.717	-1	-1	-1	-1	-1
-1	-1	1696.609	2073.552	-1	-1	-1	-1	570.836	760.937	868.591	897.222	912.118	926.765	931.812	933.591	861.713	851.288	578.836	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	423.91	449.209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	449.209	423.91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	578.836	851.288	861.713	933.591	931.812	926.765	912.118	897.222	868.591	760.937	570.836	-1	-1	-1	-1
0	-1	1053.422	1336.421	-1	-1	-1	-1	880.61	924.325	919.889	921.254	910.365	917.833	914.843	882.348	892.309	863.289	875.26	855.863	877.251	921.062	915.033	908.107	959.867	1026.085	945.115	883.212	974.529	937.638	1040.603	1051.21	1311.688	1515.746	1716.433	1752.742	1616.712	1649.676	1845.444	1858.578	1858.578	1845.444	1649.676	1616.712	1752.742	1716.433	1515.746	1311.688	1051.21	1040.603	937.638	974.529	883.212	945.115	1026.085	959.867	908.107	915.033	921.062	877.251	855.863	875.26	863.289	892.309	882.348	914.843	917.833	910.365	921.254	919.889	924.325	880.61	-1	-1	-1	-1
1	-1	1383.367	1766.875	-1	-1	-1	-1	864.737	947.097	944.787	934.477	936.275	938.896	920.264	918.867	914.95	912.828	912.013	920.668	948.188	985.899	995.657	979.045	1022.18	1039.625	1034.36	1057.053	1112.561	1132.032	1221.993	1397.099	1397.9	1643.126	1661.485	1618.794	1443.232	1443.604	1625.5	1674.42	1674.42	1625.5	1443.604	1443.232	1618.794	1661.485	1643.126	1397.9	1397.099	1221.993	1132.032	1112.561	1057.053	1034.36	1039.625	1022.18	979.045	995.657	985.899	948.188	920.668	912.013	912.828	914.95	918.867	920.264	938.896	936.275	934.477	944.787	947.097	864.737	-1	-1	-1	-1
