lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	2280.466	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1586.707	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1586.707	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	1899.778	2041.779	2110.318	2072.722	2025.578	2069.238	2043.225	1707.689	1264.291	1538.73	1440.161	1858.91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1998.348	1804.157	1716.134	1374.07	1548.41	1678.239	1799.625	1813.962	1726.107	1639.423	1639.423	1726.107	1813.962	1799.625	1678.239	1548.41	1374.07	1716.134	1804.157	1998.348	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1858.91	1440.161	1538.73	1264.291	1707.689	2043.225	2069.238	2025.578	2072.722
-3	2404.852	1919.862	2028.369	2117.158	-1	-1	-1	-1	-1	1949.947	1878.222	1815.634	1998.586	1878.413	1741.483	1603.29	1887.635	1664.769	1868.315	1467.452	1562.306	1159.831	-1	-1	1750.367	-1	-1	-1	-1	-1	2304.176	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2304.176	-1	-1	-1	-1	-1	1750.367	-1	-1	1159.831	1562.306	1467.452	1868.315	1664.769	1887.635	1603.29	1741.483	1878.413	1998.586	1815.634	1878.222	1949.947	-1	-1	-1	-1	-1	2117.158
-2	1924.458	-1	-1	-1	-1	-1	-1	-1	-1	-1	1901.202	1932.756	1935.831	1647.615	1543.186	1623.3	1650.893	1318.127	1620.166	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2047.901	-1	1979.38	2003.853	2044.409	2044.409	2003.853	1979.38	-1	2047.901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1620.166	1318.127	1650.893	1623.3	1543.186	1647.615	1935.831	1932.756	1901.202	-1	-1	-1	-1	-1	-1	-1
-1	2661.642	1615.246	1768.354	1901.199	2054.216	2214.38	-1	-1	-1	1827.85	2097.822	1424.711	1373.369	1240.7	969.034	1329.1	1516.6	1370.48	1147.419	1481.883	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1481.883	1147.419	1370.48	1516.6	1329.1	969.034	1240.7	1373.369	1424.711	2097.822	1827.85	-1	-1	-1	2214.38	2054.216	1901.199
0	1684.605	1866.82	1894.442	1963.803	1990.174	-1	-1	-1	-1	1973.629	-1	-1	1655.572	1291.799	1166.531	1160.085	1118.086	1188.819	1472.39	1734.689	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1734.689	1472.39	1188.819	1118.086	1160.085	1166.531	1291.799	1655.572	-1	-1	1973.629	-1	-1	-1	-1	1990.174	1963.803
1	1332.63	1721.091	1859.169	2058.511	2127.951	2148.838	2140.801	-1	-1	-1	-1	1531.536	1667.255	1474.096	1190.142	1421.55	1283.927	1249.433	1438.88	1524.32	1490.767	-1	-1	1267.599	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1267.599	-1	-1	1490.767	1524.32	1438.88	1249.433	1283.927	1421.55	1190.142	1474.096	1667.255	1531.536	-1	-1	-1	-1	2140.801	2148.838	2127.951	2058.511
