DFB	BB TEMP TRIAUD FE3O4
mm	3 mm central line
	EXL 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	-1
3	-1
4	-1
5	-1
6	-1
7	-1
8	-1
9	-1
10	-1
11	-1
12	2326.5735
13	2203.8125
14	2284.3725
15	2343.7575
16	2437.908
17	2482.176
18	2520.906
19	2542.041
20	2540.2795
21	2515.0935
22	2479.217
23	2397.494
24	2341.238
25	2282.8335
26	2203.4985
27	2083.122
28	2052.455
29	1964.6005
30	1890.7195
31	1808.2135
32	1707.1205
33	1831.4295
34	1879.8455
35	1799.106
36	1750.9065
37	1598.6105
38	1675.7935
39	1379.9115
40	1879.7315
41	1785.4795
42	1421.431
43	1524.755
44	799.7195
45	1551.818
