DFB	BB VOLUME FRACTION
mm	3 mm central line
	EXL 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	-1
3	-1
4	-1
5	-1
6	-1
7	-1
8	-1
9	-1
10	-1
11	-1
12	-1
13	62.7505
14	114.4605
15	168.189
16	203.6415
17	239.208
18	239.484
19	221.7465
20	197.1165
21	176.3645
22	156.378
23	150.3425
24	133.097
25	131.487
26	121.1555
27	126.546
28	113.441
29	114.237
30	109.0055
31	114.332
32	109.6675
33	74.5975
34	66.3535
35	48.647
36	53.98
37	72.296
38	54.3065
39	71.502
40	-1
41	-1
42	-1
43	-1
44	-1
45	-1
