DFB	BB VOLUME FRACTION
mm	3 mm central line
	LEAN 500
-5	-1
-4	-1
-3	-1
-2	-1
-1	-1
0	-1
1	-1
2	122.651
3	34.619
4	60.952
5	169.3565
6	275.6285
7	285.8695
8	202.324
9	73.0875
10	-1
11	-1
12	-1
13	-1
14	-1
15	-1
16	-1
17	-1
18	-1
19	-1
20	-1
21	-1
22	-1
23	-1
24	-1
25	-1
26	51.806
27	-1
28	-1
29	62.962
30	115.4345
31	-1
32	100.0925
33	124.2475
34	133.5955
35	111.302
36	118.829
37	60.422
38	118.5295
39	86.3085
40	100.739
41	88.085
42	66.6565
43	-1
44	-1
45	-1
