lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
-5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	74.211	-1	-1	76.637	-1	-1	76.637	-1	-1	74.211	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-4	19.6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15.9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15.9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-3	14.032	-1	-1	-1	-1	-1	-1	-1	-1	26.903	52.353	60.971	-1	-1	13.59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.59	-1	-1	60.971	52.353	26.903	-1	-1	-1	-1	-1	-1
-2	52.557	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.815	18.765	19.33	323.153	727.411	20.209	-1	19.159	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19.159	-1	20.209	727.411	323.153	19.33	18.765	14.815	-1	-1	-1	-1	-1	-1	-1
-1	-1	15.629	12.327	-1	-1	-1	-1	-1	-1	46.443	-1	94.069	151.276	242.515	704.373	242.748	56.681	37.122	51.641	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51.641	37.122	56.681	242.748	704.373	242.515	151.276	94.069	-1	46.443	-1	-1	-1	-1	-1	-1
0	708.966	25.216	22.397	-1	-1	-1	-1	12.102	-1	-1	-1	-1	72.785	255.933	340.413	372.987	438.117	169.209	49.608	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49.608	169.209	438.117	372.987	340.413	255.933	72.785	-1	-1	-1	-1	12.102	-1	-1	-1	-1
1	433.765	-1	342.39	27.446	-1	-1	-1	-1	-1	-1	-1	77.048	32.859	121.662	2997.888	224.889	345.66	273.789	171.551	135.222	38.82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38.82	135.222	171.551	273.789	345.66	224.889	2997.888	121.662	32.859	77.048	-1	-1	-1	-1	-1	-1	-1	27.446
