DFB	WATER *
mm	3 mm central line
	LEAN 500
-5	0.058325
-4	0
-3	0
-2	0
-1	0
0	0
1	3.316455
2	0
3	0.431255
4	2.215165
5	1.49901
6	1.22968
7	1.78988
8	2.13433
9	2.739855
10	4.13527
11	5.28973
12	5.465895
13	7.32305
14	8.4031
15	9.702275
16	10.413405
17	12.11826
18	12.70439
19	13.77583
20	14.187875
21	15.136315
22	17.15323
23	17.36069
24	18.9936
25	20.00621
26	20.529095
27	21.625785
28	22.31845
29	22.386565
30	22.55364
31	23.542075
32	22.724765
33	21.2688
34	21.91581
35	20.34115
36	19.805305
37	19.91642
38	18.192165
39	17.408935
40	15.179315
41	14.297325
42	13.1633
43	12.065635
44	10.93925
45	9.51
