lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	0.00287	0.04079	0.06172	0.08103	0.09388	0.09921	0.09518	0	0.0765	0.24626	0.25706	0.21205	0.14902	0.13361	0.10325	0.13451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13451	0.10325	0.13361	0.14902	0.21205	0.25706	0.24626	0.0765	0	0.09518	0.09921	0.09388	0.08103	0.06172	0.04079	0.00287
-4	0	0.00894	0.22183	0.2538	0.28158	0.283	0.26714	0.18814	0.26837	0.15393	0	0	0	0.00845	0	0	0	0	0	0	0	0	0	8.43268	9.27076	9.255	9.2759	7.55474	5.42804	2.10547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10547	5.42804	7.55474	9.2759	9.255	9.27076	8.43268	0	0	0	0	0	0	0	0	0	0.00845	0	0	0	0.15393	0.26837	0.18814	0.26714	0.283	0.28158	0.2538	0.22183	0.00894	0
-3	0	0	0	0.09398	0.17337	0.23475	0.27296	0.23574	0.08048	0.13008	0.01391	0.19178	0.00466	0.10098	0.21794	0.24293	0.11096	0.12509	0	0	0	0	0	0	0.0481	0	0.14365	1.27339	1.38378	1.73118	1.56585	1.56784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56784	1.56585	1.73118	1.38378	1.27339	0.14365	0	0.0481	0	0	0	0	0	0	0.12509	0.11096	0.24293	0.21794	0.10098	0.00466	0.19178	0.01391	0.13008	0.08048	0.23574	0.27296	0.23475	0.17337	0.09398	0	0	0
-2	0.16042	0.11592	0.21512	0.29445	0.36323	0.40398	0.40737	0.22656	0	0.18996	0	0	0	0	0	0	0.37885	0.34289	0.28417	0.15352	0	0	0	0	0	0	0	0	0	0.27397	0.83765	0.68315	0.58756	0.65209	0.57472	0.42327	0.43134	0.59892	0.69243	0.69243	0.59892	0.43134	0.42327	0.57472	0.65209	0.58756	0.68315	0.83765	0.27397	0	0	0	0	0	0	0	0	0	0.15352	0.28417	0.34289	0.37885	0	0	0	0	0	0	0.18996	0	0.22656	0.40737	0.40398	0.36323	0.29445	0.21512	0.11592	0.16042
-1	2.66872	0	0	0	0	0	0.03253	0.6427	0.30782	0.27946	0.24386	0.22158	0	0	0.03122	0	0	0.10067	0.14922	0.05968	0	0	0.39346	0.41828	0.13922	0.39325	0.02854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02854	0.39325	0.13922	0.41828	0.39346	0	0	0.05968	0.14922	0.10067	0	0	0.03122	0	0	0.22158	0.24386	0.27946	0.30782	0.6427	0.03253	0	0	0	0	0	2.66872
0	0	0	0.10452	0.15372	0.18734	0.20991	0.2222	0.29336	0.24124	0.16529	0	0	0	0	0.1508	0.12738	0.03872	0.13648	0	0.02587	0.12304	0.02348	0	0	0	0	0	0	0	0	0	0	0	0.05821	0.12581	0.11606	0.12334	0.14764	0.09459	0.09459	0.14764	0.12334	0.11606	0.12581	0.05821	0	0	0	0	0	0	0	0	0	0	0	0.02348	0.12304	0.02587	0	0.13648	0.03872	0.12738	0.1508	0	0	0	0	0.16529	0.24124	0.29336	0.2222	0.20991	0.18734	0.15372	0.10452	0	0
1	0.02692	0.26526	0.26365	0.25532	0.21838	0.16919	0.11208	0.04039	0	0	0	0	0	0	0.07748	0.25391	0.48844	0.45067	0.45242	0.2833	0.09447	0	0	0	0	0	0	0	0.77432	1.73184	1.61431	1.69014	1.43668	1.14341	0.78416	0.60836	0.57171	0.67419	0.96012	0.96012	0.67419	0.57171	0.60836	0.78416	1.14341	1.43668	1.69014	1.61431	1.73184	0.77432	0	0	0	0	0	0	0	0.09447	0.2833	0.45242	0.45067	0.48844	0.25391	0.07748	0	0	0	0	0	0	0.04039	0.11208	0.16919	0.21838	0.25532	0.26365	0.26526	0.02692
2	0.04104	0.4363	0.427	0.40711	0.34047	0.25527	0.15937	0	0	0.00853	0	0	0.43935	0.55946	0.69181	0.55478	0.51873	0.33493	0.03694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03694	0.33493	0.51873	0.55478	0.69181	0.55946	0.43935	0	0	0.00853	0	0	0.15937	0.25527	0.34047	0.40711	0.427	0.4363	0.04104
