DFB	WATER *
mm	3 mm central line
	RICH 500
-5	0
-4	0
-3	0
-2	0.645675
-1	0
0	0.121115
1	0.817155
2	0
3	0
4	0
5	1.76278
6	1.299455
7	1.8853
8	1.54885
9	1.143915
10	2.359855
11	1.531395
12	1.76076
13	1.880805
14	1.859555
15	1.67367
16	1.173635
17	2.728385
18	1.257965
19	3.10246
20	2.796245
21	2.24189
22	2.53874
23	2.686325
24	2.760465
25	2.369435
26	1.75458
27	2.032225
28	2.05346
29	1.577935
30	1.411805
31	2.51566
32	0
33	1.74783
34	1.4425
35	2.21687
36	1.546005
37	0.48149
38	1.02755
39	0.841165
40	0.231255
41	0
42	0.62745
43	1.24535
44	0
45	0
