lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	0	0.1516	0.12338	0.08581	0.04526	0.01178	0	0.07163	0.16785	0.09526	0.0389	0.01118	0	0.06137	0.00997	0	0	0	0	0.10541	0.24221	0.10704	0.27115	0.28192	0.20123	0.02783	0.0323	0	0	0	0	0	0	0	0	0.0654	0.0654	0	0	0	0	0.0654	0.0654	0	0	0	0	0	0	0	0	0.0323	0.02783	0.20123	0.28192	0.27115	0.10704	0.24221	0.10541	0	0	0	0	0.00997	0.06137	0	0.01118	0.0389	0.09526	0.16785	0.07163	0	0.01178	0.04526	0.08581	0.12338	0.1516	0.11364
-4	0	0.07422	0.13978	0.15307	0.15666	0.14818	0.13074	0.0737	0.08507	0.01206	0	0	0.35624	0.40905	0.42285	0.39666	0.36703	0.16977	0	0	0	0	0	0	0.56864	0.76343	0.63653	0.47856	0.21351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21351	0.47856	0.63653	0.76343	0.56864	0	0	0	0	0	0	0.16977	0.36703	0.39666	0.42285	0.40905	0.35624	0	0	0.01206	0.08507	0.0737	0.13074	0.14818	0.15666	0.15307	0.13978	0.07422	0
-3	0	0.78704	0.76289	0.70576	0.58239	0.43667	0.28513	0.34002	0.03772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03772	0.34002	0.28513	0.43667	0.58239	0.70576	0.76289	0.78704	0.2573
-2	0	0.29875	0.25154	0.19342	0.12445	0.06707	0.03383	0.26181	0.24497	0.23467	0	0.24096	0	0.66238	0.81556	0.80133	0.48525	0.0552	0.33575	0.29474	0	0	0	0	0.13235	1.00047	0.57663	0.29167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29167	0.57663	1.00047	0.13235	0	0	0	0	0.29474	0.33575	0.0552	0.48525	0.80133	0.81556	0.66238	0	0.24096	0	0.23467	0.24497	0.26181	0.03383	0.06707	0.12445	0.19342	0.25154	0.29875	0.15027
-1	0	0	0	0	0.00691	0.14208	0.20547	0.2892	0.24723	0.11869	0.12974	0	0	0	0	0.18213	0.04043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1589	0.1589	0	0	0	0	0.1589	0.1589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04043	0.18213	0	0	0	0	0.12974	0.11869	0.24723	0.2892	0.20547	0.14208	0.00691	0	0	0	0.56843
0	0.91635	0.35983	0.33688	0.28687	0.23052	0.18209	0.15306	0	0.49688	0.34944	0.75574	0.971	0.63423	0.2988	0.35126	0	0	0	0	0	0	0	0	0	0	0	0.32746	0.23042	0	0.55155	1.13611	0.6226	0.68677	0.4145	0.27532	0.24128	0.20725	0.17322	0.24433	0.24433	0.17322	0.20725	0.24128	0.27532	0.4145	0.68677	0.6226	1.13611	0.55155	0	0.23042	0.32746	0	0	0	0	0	0	0	0	0	0	0	0.35126	0.2988	0.63423	0.971	0.75574	0.34944	0.49688	0	0.15306	0.18209	0.23052	0.28687	0.33688	0.35983	0.3171
1	0	0.36397	0.37453	0.34054	0.28159	0.2274	0.1951	0.50085	0.32698	0.5272	0.27961	0	0	0.2663	0.40042	0.39603	0.06378	0	0.22957	0.26138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26138	0.22957	0	0.06378	0.39603	0.40042	0.2663	0	0	0.27961	0.5272	0.32698	0.50085	0.1951	0.2274	0.28159	0.34054	0.37453	0.36397	0
2	0	0	0	0	0	0	0	0	0	0	0.02639	0.26417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26417	0.02639	0	0	0	0	0	0	0	0	0	13.67966
