DFB	WATER *
mm	3 mm central line
	STO 500
-5	0
-4	0
-3	0
-2	0
-1	0
0	0.208775
1	0
2	0
3	0.418175
4	0
5	1.28459
6	1.84306
7	2.248355
8	2.3236
9	3.58957
10	2.86043
11	3.34019
12	4.592055
13	5.053255
14	5.515745
15	6.29259
16	5.683865
17	6.64275
18	7.943985
19	7.93919
20	8.237555
21	7.8869
22	9.346305
23	10.950365
24	10.62361
25	10.939735
26	12.047995
27	12.538015
28	12.80197
29	14.535045
30	15.04068
31	15.58236
32	16.1703
33	15.59895
34	15.5673
35	15.487595
36	16.364165
37	15.613135
38	14.90998
39	15.29465
40	13.704225
41	13.36998
42	11.86263
43	10.929285
44	10.645705
45	8.813305
