lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	0.02471	0	0	0	0	0	0.00171	0.03639	0.00185	0.08768	0.08674	0.03377	0.1092	0.02324	0.12177	0.02763	0.07151	0.06878	0.20159	0	0.16485	32.87144	35.13365	36.47533	33.36748	26.96674	17.95789	5.62484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.62484	17.95789	26.96674	33.36748	36.47533	35.13365	32.87144	0.16485	0	0.20159	0.06878	0.07151	0.02763	0.12177	0.02324	0.1092	0.03377	0.08674	0.08768	0.00185	0.03639	0.00171	0	0	0	0	0	0.02471
-4	0.00618	0	0	0	0	0.00102	0.007	0.00537	0	0.00797	0.0671	0.06978	0.06951	0.06026	0.04511	0.02432	0	0	1.12291	0.85177	1.17821	1.63583	1.49541	1.11782	0.85857	0.26947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26947	0.85857	1.11782	1.49541	1.63583	1.17821	0.85177	1.12291	0	0	0.02432	0.04511	0.06026	0.06951	0.06978	0.0671	0.00797	0	0.00537	0.007	0.00102	0	0	0	0	0.00618
-3	0.05472	0	0	0	0	0	0.0017	0.09725	0	0.15164	0.2155	0.19922	0.17026	0	0.20828	0.36846	0.45383	0.40457	0.46792	0.35017	0	0.37345	0.33419	0.13026	0	0	0	0.33978	0.99748	0.86702	0.56801	0.36097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36097	0.56801	0.86702	0.99748	0.33978	0	0	0	0.13026	0.33419	0.37345	0	0.35017	0.46792	0.40457	0.45383	0.36846	0.20828	0	0.17026	0.19922	0.2155	0.15164	0	0.09725	0.0017	0	0	0	0	0	0.05472
-2	0.97534	0	0	0	0	0.12025	1.07571	0.84218	0.7556	0.67602	0.5127	0.24199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24199	0.5127	0.67602	0.7556	0.84218	1.07571	0.12025	0	0	0	0	0.97534
-1	0.80145	0	0	0	0	0	0	1.62711	1.88594	1.93261	1.39102	1.67079	0.93349	0.74251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74251	0.93349	1.67079	1.39102	1.93261	1.88594	1.62711	0	0	0	0	0	0	0.80145
0	0.1986	0	0	0	0	0	0.16984	0.16635	0.15282	0.15372	0.11051	0.07477	0	0	0	0	0.14085	0.28342	0.06709	0.10901	0.14876	0.10291	0	0	0	0	0	0	0.47792	0.59459	0.75158	1.19113	1.0862	1.0281	0.86269	0.57286	0.5656	0.84091	0.99179	0.99179	0.84091	0.5656	0.57286	0.86269	1.0281	1.0862	1.19113	0.75158	0.59459	0.47792	0	0	0	0	0	0	0.10291	0.14876	0.10901	0.06709	0.28342	0.14085	0	0	0	0	0.07477	0.11051	0.15372	0.15282	0.16635	0.16984	0	0	0	0	0	0.1986
1	0.93429	0	0	0	0	0.14414	1.05113	0.81037	0.70631	0.58895	0.54214	0.28549	0	0	0	0	0	0	0.06249	0.02185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02185	0.06249	0	0	0	0	0	0	0.28549	0.54214	0.58895	0.70631	0.81037	1.05113	0.14414	0	0	0	0	0.93429
2	0.11739	0	0	0	0	0.0194	0.13299	0.06785	0	0.15598	0.34093	0.33508	0.12801	0.02983	0.38722	0.43904	0.68804	0.401	0.28929	0	0	1.27607	1.47883	1.22007	0.88819	0.74731	0.92114	0.07406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07406	0.92114	0.74731	0.88819	1.22007	1.47883	1.27607	0	0	0.28929	0.401	0.68804	0.43904	0.38722	0.02983	0.12801	0.33508	0.34093	0.15598	0	0.06785	0.13299	0.0194	0	0	0	0	0.11739
