DFB	WATER *
mm	3 mm central line
	EXL 500
-5	0
-4	0
-3	0
-2	0
-1	0
0	0.91635
1	0
2	0
3	0.04176
4	0.86664
5	0.55068
6	0
7	0
8	0.49816
9	0
10	0
11	0
12	1.03472
13	0.48355
14	0.35165
15	1.013275
16	1.632195
17	2.89951
18	3.32406
19	5.32542
20	5.44608
21	5.0277
22	4.65515
23	5.466865
24	5.390145
25	5.64419
26	5.120555
27	4.351335
28	4.42731
29	4.348385
30	4.080295
31	3.53773
32	3.05826
33	3.51843
34	2.472195
35	1.866455
36	2.11606
37	1.619995
38	1.582305
39	1.059305
40	0.54167
41	0.107035
42	0.07941
43	0.603145
44	0.85444
45	0
