lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-3	0.04678	-0.0938	-0.06537	-0.03995	-0.00207	0.03504	0.06692	0.06666	0.04197	0.00786	0.05877	-0.00221	0	-0.00713	-0.01876	-0.0046	-0.02633	0	-0.01484	0	0.00844	0.01829	0.06087	0.0504	0.03213	0.00126	0	0	-0.06651	-0.02103	-0.10243	-0.07658	-0.05345	0.00119	0.02044	0.01488	0.02171	0.04093	0.03534	0.03534	0.04093	0.02171	0.01488	0.02044	0.00119	-0.05345	-0.07658	-0.10243	-0.02103	-0.06651	0	0	0.00126	0.03213	0.0504	0.06087	0.01829	0.00844	0	-0.01484	0	-0.02633	-0.0046	-0.01876	-0.00713	0	-0.00221	0.05877	0.00786	0.04197	0.06666	0.06692	0.03504	-0.00207	-0.03995	-0.06537	-0.0938
-2	0.11099	-0.043	-0.02967	0.00789	0.04581	0.08234	0.1104	0.05041	0.1206	0.10413	0.00832	0	0	0	0	0.06308	0	0.08797	0.04268	0.07399	0.05883	-0.01517	-0.10273	-0.07094	0	-0.09838	-0.1949	-0.17498	-0.07049	-0.24539	-0.12964	-0.06257	-0.06707	-0.02875	-0.02395	-0.01916	-0.01437	-0.00958	-0.00479	-0.00479	-0.00958	-0.01437	-0.01916	-0.02395	-0.02875	-0.06707	-0.06257	-0.12964	-0.24539	-0.07049	-0.17498	-0.1949	-0.09838	0	-0.07094	-0.10273	-0.01517	0.05883	0.07399	0.04268	0.08797	0	0.06308	0	0	0	0	0.00832	0.10413	0.1206	0.05041	0.1104	0.08234	0.04581	0.00789	-0.02967	-0.043
-1	0.07216	0.06028	0.07224	0.06371	0.057	0.04711	0.03578	0.02469	-0.03685	0.01427	0.00652	-0.11095	0	0	-0.00704	0	0	-0.01579	0.10064	0.09987	0.17153	0.15335	0.0685	0	0	0.03806	0	0	0	-0.07013	-0.02671	-0.23959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.23959	-0.02671	-0.07013	0	0	0	0.03806	0	0	0.0685	0.15335	0.17153	0.09987	0.10064	-0.01579	0	0	-0.00704	0	0	-0.11095	0.00652	0.01427	-0.03685	0.02469	0.03578	0.04711	0.057	0.06371	0.07224	0.06028
0	-0.0139	-0.00129	0.06664	0.06488	0.06005	0.04578	0.0266	-0.06047	-0.02086	-0.03975	0.0019	0	0	0	0.1297	0.12006	0.09024	0.08254	0.14977	-0.0596	-0.09456	-0.03541	-0.15144	-0.0181	0	0	0.11443	-0.08335	-0.15075	0.03264	0.00698	-0.14955	-0.16418	-0.03555	-0.00281	-0.03293	-0.01685	0.04543	0.04484	0.04484	0.04543	-0.01685	-0.03293	-0.00281	-0.03555	-0.16418	-0.14955	0.00698	0.03264	-0.15075	-0.08335	0.11443	0	0	-0.0181	-0.15144	-0.03541	-0.09456	-0.0596	0.14977	0.08254	0.09024	0.12006	0.1297	0	0	0	0.0019	-0.03975	-0.02086	-0.06047	0.0266	0.04578	0.06005	0.06488	0.06664	-0.00129
1	-0.01501	0.12979	0.12182	0.08272	0.0456	0.01799	0.00901	0.2429	0.10157	0.203	0.0294	0.12667	0.0403	0.01769	-0.02371	-0.0296	-0.0474	-0.03894	-0.0522	0.12706	-0.05823	-0.06584	-0.2559	-0.13548	0.07128	0.03638	-0.04223	0.0735	0.01009	0.02217	0.09148	-0.29157	0.2382	0.14839	0.17514	0.18759	0.17636	0.14145	0.09225	0.09225	0.14145	0.17636	0.18759	0.17514	0.14839	0.2382	-0.29157	0.09148	0.02217	0.01009	0.0735	-0.04223	0.03638	0.07128	-0.13548	-0.2559	-0.06584	-0.05823	0.12706	-0.0522	-0.03894	-0.0474	-0.0296	-0.02371	0.01769	0.0403	0.12667	0.0294	0.203	0.10157	0.2429	0.00901	0.01799	0.0456	0.08272	0.12182	0.12979
2	0.25288	0.1375	0.17197	0.15571	0.07461	0.02635	-0.01798	0.00262	-0.04857	0.02922	-0.06005	-0.17479	0.0132	0.20749	0.09545	0.0487	0.36583	0.06428	0.15119	0.01675	0.10587	0.05254	-0.14187	-0.1641	0.16805	0.19351	0.01811	0.15043	0.48363	0.19438	0.33115	0.11384	0.74313	0.63412	0.58424	0.42498	0.41135	0.54335	0.56598	0.56598	0.54335	0.41135	0.42498	0.58424	0.63412	0.74313	0.11384	0.33115	0.19438	0.48363	0.15043	0.01811	0.19351	0.16805	-0.1641	-0.14187	0.05254	0.10587	0.01675	0.15119	0.06428	0.36583	0.0487	0.09545	0.20749	0.0132	-0.17479	-0.06005	0.02922	-0.04857	0.00262	-0.01798	0.02635	0.07461	0.15571	0.17197	0.1375
3	-0.10526	0.25755	0.29173	0.30025	0.2224	0.0368	-0.0637	-0.01081	-0.05438	-0.00578	0.14189	0.00696	0.24879	0.41439	0.06501	-0.04752	-0.12289	-0.07376	-0.19122	0.00127	0.10328	-0.02515	0.17817	0.21379	0.8442	0.6515	0.74797	0.33466	0.56825	0.53195	0.50002	0.46015	0.81466	0.66193	0.62635	0.56391	0.54481	0.56907	0.56647	0.56647	0.56907	0.54481	0.56391	0.62635	0.66193	0.81466	0.46015	0.50002	0.53195	0.56825	0.33466	0.74797	0.6515	0.8442	0.21379	0.17817	-0.02515	0.10328	0.00127	-0.19122	-0.07376	-0.12289	-0.04752	0.06501	0.41439	0.24879	0.00696	0.14189	-0.00578	-0.05438	-0.01081	-0.0637	0.0368	0.2224	0.30025	0.29173	0.25755
4	0.24295	0.27333	0.30377	0.30557	0.1172	-0.03813	-0.14837	-0.13588	-0.25436	0.04296	0.16064	0.09092	0.44042	0.33609	0.53609	0.47221	0.17888	0.11517	0.11765	-0.06251	0.23646	0.1431	0.21553	0.33531	1.20838	1.20898	1.22216	1.04986	1.22829	1.25104	1.53708	1.94659	2.06934	2.08209	2.03857	1.89394	1.89554	2.04335	2.09005	2.09005	2.04335	1.89554	1.89394	2.03857	2.08209	2.06934	1.94659	1.53708	1.25104	1.22829	1.04986	1.22216	1.20898	1.20838	0.33531	0.21553	0.1431	0.23646	-0.06251	0.11765	0.11517	0.17888	0.47221	0.53609	0.33609	0.44042	0.09092	0.16064	0.04296	-0.25436	-0.13588	-0.14837	-0.03813	0.1172	0.30557	0.30377	0.27333
