DFB	FEO *
mm	3 mm central line
	LEAN 500
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0.4156775
2	0.55645
3	2.355335
4	6.43729
5	13.3047825
6	20.144525
7	25.871125
8	27.57725
9	26.890125
10	25.632825
11	24.0062175
12	22.18332
13	20.7824475
14	19.4110025
15	18.5366
16	17.5121275
17	15.7711675
18	15.8902175
19	14.9326275
20	14.9202575
21	14.984925
22	15.398435
23	15.8916425
24	16.869445
25	17.481245
26	18.48534
27	18.4337825
28	18.61646
29	18.4569275
30	17.3893775
31	16.6321875
32	14.8899325
33	13.4602525
34	11.2952475
35	8.69746
36	6.596575
37	5.8505225
38	3.3284525
39	2.80374
40	1.730905
41	1.2117225
42	1.1810975
43	1.0261125
44	0.197925
45	0.0106725
