lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	-0.33475	-0.15712	-0.14819	-0.06801	-0.00698	0.05427	0.1072	0.09982	0.12607	0.1125	0.04251	0.10055	0.01981	-0.09021	-0.16097	0.09879	-0.04935	-0.01752	0.1365	0.25491	0.0246	0.09615	-0.05879	-0.05049	-0.03551	-0.04771	0.14501	0.20765	0.18022	0.43536	0.42905	0.4237	0.23786	0.26487	0.29397	0.37474	0.37812	0.3041	0.28175	0.28175	0.3041	0.37812	0.37474	0.29397	0.26487	0.23786	0.4237	0.42905	0.43536	0.18022	0.20765	0.14501	-0.04771	-0.03551	-0.05049	-0.05879	0.09615	0.0246	0.25491	0.1365	-0.01752	-0.04935	0.09879	-0.16097	-0.09021	0.01981	0.10055	0.04251	0.1125	0.12607	0.09982	0.1072	0.05427	-0.00698	-0.06801	-0.14819	-0.15712
-4	0	-0.05544	-0.20084	-0.1781	-0.14592	-0.0943	-0.03691	0.014	0	0	0	0	0	0	9.785E-4	-0.0434	0.03135	-0.04982	0.15505	0.07368	0.04011	0.13725	-0.02393	-0.06152	-0.15245	0.04572	-0.00544	0.23918	0.21014	0.14632	0.55916	0.49448	0.11323	0.18376	0.1597	0.15115	0.15997	0.18615	0.22785	0.22785	0.18615	0.15997	0.15115	0.1597	0.18376	0.11323	0.49448	0.55916	0.14632	0.21014	0.23918	-0.00544	0.04572	-0.15245	-0.06152	-0.02393	0.13725	0.04011	0.07368	0.15505	-0.04982	0.03135	-0.0434	9.785E-4	0	0	0	0	0	0	0.014	-0.03691	-0.0943	-0.14592	-0.1781	-0.20084	-0.05544
-3	-0.01081	0.25754	0.16695	0.07942	-0.02614	-0.11552	-0.15215	-0.01452	-0.01907	0.11035	0.08761	0.03939	0.10683	0.02343	-0.17745	-0.19401	-0.31964	-0.15351	-0.08491	0.15803	0.26888	0.27179	0.26073	0.2149	0.2419	-0.16306	0.07806	-0.4238	-0.02349	0.18958	0.39005	0.32195	0.64515	0.52606	0.4814	0.39382	0.37894	0.43674	0.45163	0.45163	0.43674	0.37894	0.39382	0.4814	0.52606	0.64515	0.32195	0.39005	0.18958	-0.02349	-0.4238	0.07806	-0.16306	0.2419	0.2149	0.26073	0.27179	0.26888	0.15803	-0.08491	-0.15351	-0.31964	-0.19401	-0.17745	0.02343	0.10683	0.03939	0.08761	0.11035	-0.01907	-0.01452	-0.15215	-0.11552	-0.02614	0.07942	0.16695	0.25754
-2	-0.24163	0.02673	0.00642	-0.01049	-0.04268	-0.07054	-0.0875	-0.03914	-0.05558	0.00923	0.09299	0.10327	0.27441	0.23676	0.23311	0.14483	0.14636	0.30259	-0.02767	0.01279	-0.20713	-0.02147	-0.03169	-0.27703	-0.04289	-0.18543	-0.19656	-0.17499	0.03951	0.24798	0.18523	0.5645	0.49235	0.77974	0.814	0.71711	0.75303	0.92177	0.95936	0.95936	0.92177	0.75303	0.71711	0.814	0.77974	0.49235	0.5645	0.18523	0.24798	0.03951	-0.17499	-0.19656	-0.18543	-0.04289	-0.27703	-0.03169	-0.02147	-0.20713	0.01279	-0.02767	0.30259	0.14636	0.14483	0.23311	0.23676	0.27441	0.10327	0.09299	0.00923	-0.05558	-0.03914	-0.0875	-0.07054	-0.04268	-0.01049	0.00642	0.02673
-1	0.71253	-0.23341	-0.19728	-0.16277	-0.06998	0.03022	0.1204	0.13305	0.05653	0.11994	0.15688	-0.07703	0.03785	0.11736	0.18718	0.22461	0.27748	0.11839	0.3632	-0.09134	0.04971	-0.0345	-0.28083	-0.47089	-0.25897	0.13306	-0.14957	0.17165	0.44196	0.45779	0.71	0.51774	1.04686	0.83558	0.71379	0.48411	0.4577	0.63456	0.70353	0.70353	0.63456	0.4577	0.48411	0.71379	0.83558	1.04686	0.51774	0.71	0.45779	0.44196	0.17165	-0.14957	0.13306	-0.25897	-0.47089	-0.28083	-0.0345	0.04971	-0.09134	0.3632	0.11839	0.27748	0.22461	0.18718	0.11736	0.03785	-0.07703	0.15688	0.11994	0.05653	0.13305	0.1204	0.03022	-0.06998	-0.16277	-0.19728	-0.23341
0	-0.21404	0.20117	0.12618	0.07072	-0.01637	-0.09801	-0.16279	-0.06409	-0.11861	-0.01406	0.02072	0.0846	0.30065	0.19779	0.16832	0.26569	0.15002	-0.20266	-0.03826	-0.1136	-0.21149	-0.11706	-0.06783	-0.18021	0.07262	0.12279	0.5422	0.31687	0.7875	0.54005	1.45188	0.94961	1.2956	1.22552	1.15652	1.00083	0.99208	1.13024	1.18173	1.18173	1.13024	0.99208	1.00083	1.15652	1.22552	1.2956	0.94961	1.45188	0.54005	0.7875	0.31687	0.5422	0.12279	0.07262	-0.18021	-0.06783	-0.11706	-0.21149	-0.1136	-0.03826	-0.20266	0.15002	0.26569	0.16832	0.19779	0.30065	0.0846	0.02072	-0.01406	-0.11861	-0.06409	-0.16279	-0.09801	-0.01637	0.07072	0.12618	0.20117
1	0	0.05992	0.01064	-0.0299	-0.07153	-0.10183	-0.11494	-0.06541	-0.04257	0.17848	0.0642	0.01635	0.20821	0.11806	0.36601	0.12018	0.33935	0.24429	0.30547	0.38474	0.45156	0.18808	0.28565	-0.02074	0.45344	0.23295	0.50054	0.3455	0.7545	0.5009	0.89136	1.05513	1.25891	1.19755	1.18138	1.12672	1.11905	1.15838	1.15921	1.15921	1.15838	1.11905	1.12672	1.18138	1.19755	1.25891	1.05513	0.89136	0.5009	0.7545	0.3455	0.50054	0.23295	0.45344	-0.02074	0.28565	0.18808	0.45156	0.38474	0.30547	0.24429	0.33935	0.12018	0.36601	0.11806	0.20821	0.01635	0.0642	0.17848	-0.04257	-0.06541	-0.11494	-0.10183	-0.07153	-0.0299	0.01064	0.05992
2	-0.4111	0.25111	0.22384	0.16413	0.07439	-0.0209	-0.10446	-0.10785	-0.19582	-0.0307	-0.06311	0.04105	0.06932	0.07285	0.38281	0.49165	0.54746	0.45607	0.7635	0.54752	0.44666	0.44239	0.78856	0.65974	0.83784	1.22566	1.83455	2.1729	2.36097	2.73025	3.16737	2.62138	3.1462	3.06173	2.97954	2.77986	2.7693	2.94787	3.00893	3.00893	2.94787	2.7693	2.77986	2.97954	3.06173	3.1462	2.62138	3.16737	2.73025	2.36097	2.1729	1.83455	1.22566	0.83784	0.65974	0.78856	0.44239	0.44666	0.54752	0.7635	0.45607	0.54746	0.49165	0.38281	0.07285	0.06932	0.04105	-0.06311	-0.0307	-0.19582	-0.10785	-0.10446	-0.0209	0.07439	0.16413	0.22384	0.25111
