DFB	FEO *
mm	3 mm central line
	RICH 500
-5	0.31143
-4	0.200455
-3	0.429735
-2	0.89838
-1	0.62483
0	1.121445
1	1.1489625
2	2.9337575
3	6.2859275
4	10.1258375
5	14.6282275
6	15.411665
7	15.07413
8	13.675275
9	11.340425
10	9.7731025
11	8.1580075
12	6.600255
13	5.2550825
14	4.09521
15	3.68881
16	3.4436
17	2.570425
18	1.9432425
19	1.9237025
20	1.6694175
21	0.988485
22	0.7112525
23	0.96312
24	0.2871475
25	0.763055
26	0.639575
27	0.2515625
28	0.79869
29	-0.2131425
30	0.1742875
31	0.51333
32	-0.5441075
33	0.0381075
34	0.0575625
35	-0.1465825
36	-0.0634575
37	0.1278525
38	0.05758
39	-0.02029
40	0.38569
41	0.02989
42	-0.086835
43	8.99999999999998E-5
44	0.1272925
45	-0.0296175
