DFB	FEO *
mm	3 mm central line
	STO 500
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0
2	0
3	-0.275695
4	-2.1887725
5	4.64498
6	14.627
7	25.2869
8	33.019175
9	35.8367
10	30.103975
11	20.941675
12	13.118215
13	11.6463775
14	10.8867475
15	10.244805
16	8.544845
17	8.5653825
18	8.5475225
19	7.5262775
20	7.2688525
21	7.2979625
22	7.053935
23	7.422925
24	6.957345
25	8.0033675
26	8.2928325
27	8.5495225
28	9.5224275
29	8.5871125
30	10.6033825
31	10.26547
32	10.1231225
33	9.90052
34	9.39329
35	9.3604725
36	8.44468
37	8.654055
38	6.947485
39	5.5552725
40	4.75176
41	4.378915
42	2.87238
43	2.12421
44	1.1550525
45	0.1233675
