DFB	FEO *
mm	3 mm central line
	EXL 500
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0
2	0.0024575
3	0.0406175
4	0.03639
5	0.3097275
6	0.0677675
7	0.1164875
8	0.243435
9	0.412525
10	0.674005
11	0.1619775
12	0.5042125
13	1.324045
14	1.3151425
15	1.2585525
16	2.181525
17	2.7442275
18	2.5428925
19	3.0288925
20	2.858885
21	2.9151475
22	2.41842
23	2.3474775
24	2.125205
25	1.4978425
26	0.95741
27	1.3062225
28	0.4984925
29	0.3976625
30	0.5758325
31	1.1681875
32	0.2530875
33	0.38177
34	0.513465
35	0.0090825
36	0.100125
37	0.4560875
38	0.1974675
39	0.290755
40	0.269555
41	0.2581975
42	0.1655375
43	0.07535
44	0.04597
45	0.0047925
