DFB	FE *
mm	3 mm central line
	LEAN 700
-5	0
-4	0
-3	0
-2	0
-1	0
0	4.5072
1	7.1579275
2	17.9047975
3	32.591035
4	41.8268225
5	58.848995
6	85.6496325
7	90.84624
8	102.04695
9	117.6269
10	103.391
11	109.961575
12	96.4444875
13	109.82035
14	88.521405
15	84.0573275
16	80.1352
17	71.664975
18	73.6318925
19	58.483575
20	50.4332125
21	40.3291875
22	48.28533
23	23.9880925
24	24.3601575
25	22.295665
26	16.806115
27	2.9225425
28	19.5693625
29	5.90358
30	10.48667
31	6.8116625
32	3.5603175
33	4.3275075
34	4.91471
35	-4.9020075
36	2.018615
37	1.0669725
38	0
39	-9.1426975
40	-5.581555
41	-1.2759925
42	-2.9137625
43	0
44	-5.778435
45	0.6518825
