lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	1.74656	0	-0.01112	-1.38618	-2.22464	-2.95825	-3.3828	-2.29059	-2.10928	-1.34718	0.08851	0.1545	0.21447	0	0	0	0	0	-1.33302	-1.40668	-5.24611	-4.65354	-3.67882	-2.26524	-1.0738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0738	-2.26524	-3.67882	-4.65354	-5.24611	-1.40668	-1.33302	0	0	0	0	0	0.21447	0.1545	0.08851	-1.34718	-2.10928	-2.29059	-3.3828	-2.95825	-2.22464	-1.38618	-0.01112	0
-4	-0.31842	-0.29535	-0.17519	-0.02556	0.12241	0.24441	0.2024	0	-0.06792	0.11095	0	0	0	0	0	0	-0.84608	-0.3538	-1.63	-3.09852	-2.96401	-2.2417	-2.44161	-1.91058	-0.82534	0	0	0	-0.42346	0	-0.27887	-0.35136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.35136	-0.27887	0	-0.42346	0	0	0	-0.82534	-1.91058	-2.44161	-2.2417	-2.96401	-3.09852	-1.63	-0.3538	-0.84608	0	0	0	0	0	0	0.11095	-0.06792	0	0.2024	0.24441	0.12241	-0.02556	-0.17519	-0.29535
-3	0	-0.11804	0.00211	-0.04275	-0.09253	-0.16987	-0.26726	-0.74855	-0.64616	0	-0.10376	0	0	0	-0.96221	0	0	-1.28542	-1.82082	-1.59873	-0.76086	0	-3.39904	-0.92127	-4.04539	-1.91228	-1.54052	-0.85224	-4.39742	0	-1.07878	-0.57841	-7.09818	-8.53619	-9.66712	-9.76056	-9.94031	-10.20637	-9.43495	-9.43495	-10.20637	-9.94031	-9.76056	-9.66712	-8.53619	-7.09818	-0.57841	-1.07878	0	-4.39742	-0.85224	-1.54052	-1.91228	-4.04539	-0.92127	-3.39904	0	-0.76086	-1.59873	-1.82082	-1.28542	0	0	-0.96221	0	0	0	-0.10376	0	-0.64616	-0.74855	-0.26726	-0.16987	-0.09253	-0.04275	0.00211	-0.11804
-2	0	0	0.00795	-0.89153	-1.95418	-2.59023	-2.90313	-1.50135	-0.91061	0.43912	0.37507	0.34564	0.14827	0	0	0	-0.01085	-0.71221	-3.17774	-1.31614	-3.88225	-2.81749	-2.83979	-2.36676	0	0	0	0	0	0	-1.98456	0	-4.31851	-3.17558	-2.72171	-1.73066	-1.58779	-2.29312	-2.46126	-2.46126	-2.29312	-1.58779	-1.73066	-2.72171	-3.17558	-4.31851	0	-1.98456	0	0	0	0	0	0	-2.36676	-2.83979	-2.81749	-3.88225	-1.31614	-3.17774	-0.71221	-0.01085	0	0	0	0.14827	0.34564	0.37507	0.43912	-0.91061	-1.50135	-2.90313	-2.59023	-1.95418	-0.89153	0.00795	0
-1	0.77784	-0.45876	-1.42704	-1.49236	-1.47715	-0.95666	-0.46802	-0.35416	0.31656	0.23743	0.09757	0	0	0	0	0	-0.32884	-3.91171	-3.97837	-3.32896	-3.37258	-0.74411	-3.12343	-0.93286	0	0	0	-4.22749	-2.10286	-7.49407	-1.55806	-3.46718	-1.93788	-0.83052	-0.6921	-0.55368	-0.41526	-0.27684	-0.13842	-0.13842	-0.27684	-0.41526	-0.55368	-0.6921	-0.83052	-1.93788	-3.46718	-1.55806	-7.49407	-2.10286	-4.22749	0	0	0	-0.93286	-3.12343	-0.74411	-3.37258	-3.32896	-3.97837	-3.91171	-0.32884	0	0	0	0	0	0.09757	0.23743	0.31656	-0.35416	-0.46802	-0.95666	-1.47715	-1.49236	-1.42704	-0.45876
0	0.45722	-0.06349	-1.66464	-1.80282	-1.88533	-1.667	-0.93222	-0.56146	-0.01011	0.25949	0.28045	0.1555	0.00297	0	0	0	0	0	0	0	0	0	0	-0.4938	0	0	0	0	-2.22455	-3.56211	-5.08632	-1.98276	-2.91034	-1.22756	-0.36819	-0.20096	0.00939	0.26286	-0.17582	-0.17582	0.26286	0.00939	-0.20096	-0.36819	-1.22756	-2.91034	-1.98276	-5.08632	-3.56211	-2.22455	0	0	0	0	-0.4938	0	0	0	0	0	0	0	0	0	0	0.00297	0.1555	0.28045	0.25949	-0.01011	-0.56146	-0.93222	-1.667	-1.88533	-1.80282	-1.66464	-0.06349
1	1.69029	-0.18536	-1.26006	-1.49188	-1.55833	-1.4129	-1.16346	-0.4751	-0.61623	0	0	0	0	0	0	0	0	0	0	0	0	-2.01086	-2.38032	-2.70599	-6.16203	-4.56006	-4.5616	-4.7142	-4.13473	-0.66246	-1.4595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.4595	-0.66246	-4.13473	-4.7142	-4.5616	-4.56006	-6.16203	-2.70599	-2.38032	-2.01086	0	0	0	0	0	0	0	0	0	0	0	0	-0.61623	-0.4751	-1.16346	-1.4129	-1.55833	-1.49188	-1.26006	-0.18536
2	1.44072	-3.89814	-3.51979	-2.86553	-1.8184	-0.62198	0.65874	0.55397	0.39065	0.22736	0.20026	0	0	-1.02981	0	0	-0.19043	-0.92048	-0.54023	-1.86525	-0.01781	-2.94987	-1.82921	-0.26753	2.25606	1.78167	1.60717	1.03873	-1.0781	-2.70059	-4.26359	-2.93554	-0.01618	0.65188	0.98793	0.56367	0.64718	1.23845	1.06942	1.06942	1.23845	0.64718	0.56367	0.98793	0.65188	-0.01618	-2.93554	-4.26359	-2.70059	-1.0781	1.03873	1.60717	1.78167	2.25606	-0.26753	-1.82921	-2.94987	-0.01781	-1.86525	-0.54023	-0.92048	-0.19043	0	0	-1.02981	0	0	0.20026	0.22736	0.39065	0.55397	0.65874	-0.62198	-1.8184	-2.86553	-3.51979	-3.89814
