DFB	FE *
mm	3 mm central line
	RICH 500
-5	0
-4	0
-3	-9.754145
-2	-2.2008575
-1	-0.242235
0	-0.0198475
1	0
2	1.0061175
3	10.9541875
4	10.2061975
5	19.9964225
6	33.89188
7	34.812355
8	32.239525
9	41.12369
10	34.1046425
11	36.4528225
12	40.9864475
13	37.744245
14	32.033155
15	25.47041
16	27.8083175
17	14.773575
18	19.5120125
19	19.678105
20	14.9618425
21	13.920865
22	12.6033825
23	9.725085
24	10.5025275
25	13.18042
26	4.097525
27	7.5473475
28	6.3947125
29	-1.37264
30	8.910505
31	4.6754475
32	6.12962
33	2.86764
34	2.5266
35	4.5677225
36	4.6087
37	4.4547
38	2.587995
39	-0.4081525
40	2.687925
41	4.5258275
42	-0.2216425
43	-0.4518475
44	4.3839975
45	-1.5257325
