lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	4.48126	-1.53129	-1.29382	-0.59253	-0.20508	-0.01991	-0.12093	-0.2728	-3.73197	-5.24027	-2.55039	-3.44012	-1.712	-0.70297	-0.95746	-2.8658	-0.91354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91354	-2.8658	-0.95746	-0.70297	-1.712	-3.44012	-2.55039	-5.24027	-3.73197	-0.2728	-0.12093	-0.01991	-0.20508	-0.59253	-1.29382	-1.53129
-4	-12.24446	0.86187	0.70894	0.31074	0	0	0	-2.04847	-2.60748	-3.50555	-1.8894	-1.75999	-0.36569	0.28277	0.22116	0.14366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14366	0.22116	0.28277	-0.36569	-1.75999	-1.8894	-3.50555	-2.60748	-2.04847	0	0	0	0.31074	0.70894	0.86187
-3	-6.15544	0.96971	0.76135	0.39142	-0.11718	-1.77934	-2.42595	-1.92523	-0.56388	0	-0.68526	0	0	0	0	-3.38348	-3.98111	-3.42262	-2.60693	-1.32494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.32494	-2.60693	-3.42262	-3.98111	-3.38348	0	0	0	0	-0.68526	0	-0.56388	-1.92523	-2.42595	-1.77934	-0.11718	0.39142	0.76135	0.96971
-2	-8.29192	-1.90624	-1.89611	-0.53082	0	0	0	0	0	0	0	0.20676	0.35626	0.19343	0.50864	-3.0983	-2.6585	-3.96213	-2.57437	-1.2231	0	0	0	0	0	0	-2.97002	-1.49503	-0.28501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.28501	-1.49503	-2.97002	0	0	0	0	0	0	-1.2231	-2.57437	-3.96213	-2.6585	-3.0983	0.50864	0.19343	0.35626	0.20676	0	0	0	0	0	0	0	-0.53082	-1.89611	-1.90624
-1	-11.05751	0.5451	0.27046	0.11113	0	0	0	-0.29737	-3.48037	-1.00143	-4.24712	-3.82016	-0.92012	-2.97173	-1.10237	0.90901	0.29977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29977	0.90901	-1.10237	-2.97173	-0.92012	-3.82016	-4.24712	-1.00143	-3.48037	-0.29737	0	0	0	0.11113	0.27046	0.5451
0	-10.48333	0.40839	0.31648	-0.38647	-1.88624	-3.02483	-3.87964	-3.31329	-0.48276	-0.15185	-0.53602	0.1494	0.02234	0.05529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05529	0.02234	0.1494	-0.53602	-0.15185	-0.48276	-3.31329	-3.87964	-3.02483	-1.88624	-0.38647	0.31648	0.40839
1	-2.56214	-0.11436	-0.35456	-0.34911	-0.41035	-0.45942	-0.5938	0.02847	-0.70212	-0.5018	-1.99689	-1.15764	1.70794	0.24479	0.37121	0.67693	-0.24747	0	-0.24477	0	0	0	0	0	0	0	-1.60901	-2.46447	-2.78529	-1.84945	-0.21228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21228	-1.84945	-2.78529	-2.46447	-1.60901	0	0	0	0	0	0	0	-0.24477	0	-0.24747	0.67693	0.37121	0.24479	1.70794	-1.15764	-1.99689	-0.5018	-0.70212	0.02847	-0.5938	-0.45942	-0.41035	-0.34911	-0.35456	-0.11436
2	-3.04517	-1.91839	-2.28374	-1.89171	-1.78726	-1.64702	-1.47548	-0.9828	0	0	-0.96363	-0.38233	-2.05169	-2.18253	-2.89411	-2.84128	-1.59342	-2.72174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.72174	-1.59342	-2.84128	-2.89411	-2.18253	-2.05169	-0.38233	-0.96363	0	0	-0.9828	-1.47548	-1.64702	-1.78726	-1.89171	-2.28374	-1.91839
