lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
-5	-9.36391	0	0	0	0	-1.19723	-10.48969	-8.31667	-8.0086	-7.57799	-6.44409	-2.76334	-1.52031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.24629	-2.57079	-2.57079	-1.24629	0	0	-1.24629	-2.57079	-2.57079	-1.24629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.52031	-2.76334	-6.44409	-7.57799	-8.0086	-8.31667	-10.48969	-1.19723	0	0	0	0
-4	-8.77319	0	0	0	0	-1.11506	-9.76054	-8.51693	-6.79439	-6.86687	-2.61485	-2.24909	0.63529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63529	-2.24909	-2.61485	-6.86687	-6.79439	-8.51693	-9.76054	-1.11506	0	0	0	0
-3	-9.20393	0	0	0	0	-1.0739	-10.10345	-7.84144	-8.00992	-6.16311	-3.48318	-0.09196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.25922	-1.61238	-1.61238	-1.25922	0	0	-1.25922	-1.61238	-1.61238	-1.25922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.09196	-3.48318	-6.16311	-8.00992	-7.84144	-10.10345	-1.0739	0	0	0	0
-2	-10.29952	0	0	0	0	-1.13319	-11.21774	-8.83961	-8.2202	-6.74735	-4.71404	1.22388	0.27092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64202	-4.07563	-5.62252	-5.70278	-4.31639	-1.04328	-1.04328	-4.31639	-5.70278	-5.62252	-4.07563	-0.64202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27092	1.22388	-4.71404	-6.74735	-8.2202	-8.83961	-11.21774	-1.13319	0	0	0	0
-1	-8.31906	0	0	0	0	-1.57203	-9.65671	-7.74864	-7.27714	-6.70151	-3.81706	0.23264	0.55991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.08569	-4.33227	-4.33227	-3.08569	0	0	-3.08569	-4.33227	-4.33227	-3.08569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55991	0.23264	-3.81706	-6.70151	-7.27714	-7.74864	-9.65671	-1.57203	0	0	0	0
0	-8.06838	0	0	0	0	-0.96204	-8.93933	-7.92749	-7.18606	-4.47514	-3.30209	0.81185	0.28502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.62078	-5.45506	-4.55772	-4.88532	-6.43785	-4.25876	-4.25876	-6.43785	-4.88532	-4.55772	-5.45506	-2.62078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28502	0.81185	-3.30209	-4.47514	-7.18606	-7.92749	-8.93933	-0.96204	0	0	0	0
1	-8.91795	0	0	0	0	-0.9139	-9.81314	-8.39783	-7.79929	-6.36417	-4.64012	-2.71361	-0.72694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.18035	-3.04758	-3.04758	-2.18035	0	0	-2.18035	-3.04758	-3.04758	-2.18035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.72694	-2.71361	-4.64012	-6.36417	-7.79929	-8.39783	-9.81314	-0.9139	0	0	0	0
2	-9.28337	0	0	0	0	-1.31912	-10.36342	-7.04125	-8.52355	-7.37216	-4.83893	-1.14783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.93244	-1.83246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.83246	-2.93244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.14783	-4.83893	-7.37216	-8.52355	-7.04125	-10.36342	-1.31912	0	0	0	0
3	-7.76695	0	0	0	0	-1.22014	-8.68279	-6.65898	-6.41319	-4.16939	-2.3237	1.77034	0.72573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.44392	-4.4263	-8.41762	-8.84639	-7.25774	-7.75666	-10.34314	-10.91219	-10.91219	-10.34314	-7.75666	-7.25774	-8.84639	-8.41762	-4.4263	-2.44392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72573	1.77034	-2.3237	-4.16939	-6.41319	-6.65898	-8.68279	-1.22014	0	0	0	0
