DFB	FE *
mm	3 mm central line
	EXL 500
-5	-0.95427
-4	0
-3	-0.7179
-2	-3.0264325
-1	-1.85449
0	-4.9601725
1	-1.3069825
2	0
3	-9.981045
4	0
5	-0.850715
6	-0.9015325
7	0
8	0
9	0
10	-0.002125
11	-2.234265
12	0.3668975
13	2.816515
14	-6.3447625
15	-3.2893475
16	-4.6815425
17	-2.070765
18	-3.6209775
19	12.7892075
20	0.6229575
21	2.5338225
22	3.6944475
23	2.115355
24	-5.7665475
25	-1.3524775
26	8.1865025
27	1.1370525
28	0.4311675
29	5.202935
30	-1.4622925
31	-2.18179
32	1.6026775
33	0.0462325
34	-6.7825775
35	-5.23008
36	1.3633725
37	-14.1915075
38	-0.1078525
39	0.8634925
40	-2.567365
41	-3.184435
42	-5.569115
43	-12.1239875
44	-2.8278875
45	-3.1403425
