DFB	TEMP OH LIF
mm	K
0	426.8
1	1110.926
2	1127.724
3	1216.48
4	1354.971
5	1418.279
6	1456.054
7	1446.486
8	1461.17
9	1488.01
10	1530.493
11	1560.151
12	1570.839
13	1581.297
14	1594.236
15	1624.519
16	1649.252
17	1668.224
18	1656.506
19	1646.702
20	1663.113
21	1686.594
22	1716.89
23	1715.447
24	1687.897
25	1635.587
26	1596.055
27	1625.357
28	1618.139
29	1603.743
30	1593.885
31	1580.356
32	1567.021
33	1565.784
34	1566.641
35	1556.596
36	1532.894
37	1495.015
38	1489.429
39	1485.959
40	1469.946
41	1442.135
42	1405.708
43	1417.584
44	1410.15
45	1351.184
46	1246.248
47	1123.504
48	1188.712
49	1182.007
50	1119.231
