DFB	TEMP OH LIF
mm	K
47.2195	1152.449865
45.63006	1299.573675
44.04062	1368.41572
42.45118	1420.901975
40.86174	1444.92783
39.2723	1469.18591
37.68286	1423.01947
36.09342	1495.438205
34.50398	1577.701315
34.2723	1559.14063
32.68286	1753.737555
31.09342	1641.504415
29.50398	1729.08422
27.91454	1617.78113
27.91454	1617.78113
25.63006	1630.96523
24.04062	1571.748015
22.45118	1570.32085
20.86174	1429.23921
19.2723	1338.73604
17.68286	1297.207175
16.09342	1028.591345
14.50398	1076.93405
12.91454	930.94976
0	301.4
