DFB	VOLUME FRACTION	TEMP BB	TEMP BB	TEMP BB	TEMP BB	TEMP BB
mm	arb. unit	K	K	K	K	K
		FE DRUDE 	FEO HENNING	FEO SHVAREV	FEO TRIAUD FE2O3	FEO TRIAUD FE3O4
3	54.1005	1607.359	1872.9915	2003.5135	1601.43	2121.3855
4	60.952	1764.3785	2071.8725	2223.895	1754.5245	2397.464
5	169.3565	1702.0545	1990.038	2133.1965	1693.631	2283.1255
6	275.6285	1676.518	1957.4385	2096.678	1668.6825	2238.4065
7	285.8695	1693.901	1979.4775	2121.0055	1685.622	2269.133
8	202.324	1729.54	2024.884	2171.7965	1720.3885	2332.4315
9	73.0875	1842.63	2172.832	2339.702	1830.881	2540.812
10	35.4425	1885.3665	2233.217		1872.921	2629.3005
11	29.4465	1884.8195	2232.502		1872.4215	2628.6555
12	32.297	1865.2435	2202.8655		1852.968	2585.2565
13	25.1945	1891.136	2239.257		1878.298	2639.9035
14	26.243	1850.813	2186.4795		1839.05	2564.9235
15	14.2535	1969.4445	2342.3235		1954.4505	2581.6759
16	24.4215	1835.077	2164.9125		1823.8055	2530.2545
17	8.752	2053.5705			2036.065	2562.5678
18	25.355	1768.6125	2082.718		1759.5795	2415.347
19	26.343	1754.5135	2063.154		1745.415	2391.225
20	30.6185	1703.5815	1997.636		1696.326	2288.1805
21	34.173	1680.0335	1965.08		1673.019	2244.886
22	19.129	1825.976	2147.017		1814.2505	2502.3745
23	23.304	1790.6535	2100.31		1779.8635	2433.882
24	32.08	1691.649	1975.5475		1683.321	2264.645
25	31.8175	1681.1355	1964.4965		1673.3965	2245.059
26	51.806	1590.782	1847.695	1980.6625	1585.1395	2082.0735
27	29.9455	1710.6755	1997.931		1701.695	2289.7
28	33.314	1665.5455	1940.3105		1657.7545	2211.7635
29	62.962	1508.82	1747.7525	1873.8705	1505.3595	1938.434
30	115.4345	1394.8785	1602.684	1719.214	1393.3435	1742.484
31	28.8725	1701.448	1981.426		1692.0935	2267.872
32	100.0925	1441.1755	1654.815	1770.123	1437.8495	1821.624
33	124.2475	1401.628	1603.92	1716.6605	1398.9205	1752.9315
34	133.5955	1336.7795	1523.8085	1629.859	1335.1075	1649.7645
35	111.302	1375.583	1570.098	1676.9845	1372.977	1715.052
36	118.829	1378.1165	1570.0875	1676.6945	1375.1005	1717.2615
37	60.422	1391.491	1592.031	1698.227	1388.6635	1744.369
38	118.5295	1304.374	1478.304	1576.331	1302.273	1600.0385
39	86.3085	1261.817	1427.8105	1521.4645	1260.4225	1535.3415
40	100.739	1287.5065	1455.559	1552.8205	1285.5115	1572.13
41	88.085	1264.0825	1428.7755	1517.909	1262.1685	1543.2705
42	66.6565	1302.9785	1474.6685	1569.334	1300.479	1600.508
43	24.7435	1446.412	1653.3935		1441.51	1832.5855
44	18.644	1407.9325	1605.1785		1403.7415	1771.8455
