DFB,VOLUME FRACTION,TEMP BB,TEMP BB,TEMP BB,TEMP BB,TEMP BB
mm,arb. unit,K,K,K,K,K
,,FE DRUDE ,FEO HENNING,FEO SHVAREV,FEO TRIAUD FE2O3,FEO TRIAUD FE3O4
0,,1453.6445,1670.236,1778.701,1449.5625,1852.011
1,,1334.437,1527.649,1634.287,1333.546,1649.96
2,,1533.8745,1780.554,1904.0165,1529.741,1990.9075
3,0,1840.1785,2166.871,2331.7475,1828.0465,2528.8215
4,0,1690.004,1974.6545,2116.145,1681.872,2262.0845
5,0,1701.59,1989.788,2132.2485,1693.151,2283.508
6,0,1805.3225,2123.434,2282.2555,1794.278,2470.4235
7,0,1899.5225,2248.498,2425.352,1886.232,2649.413
8,0,,0,2915.78,2188.339,3259.5025
9,0,,0,2946.599,2203.8985,0
10,0,,0,0,2275.1275,0
11,0,,0,0,0,0
12,0,,0,0,0,0
13,0,,0,0,0,0
14,0,,0,0,0,0
15,0,,0,0,0,0
16,0,,0,0,0,0
17,0,,0,0,0,0
18,0,,0,0,0,0
19,0,,0,0,0,0
20,0,,0,0,0,0
21,0,,0,0,0,0
22,0,,0,0,0,0
23,0,,0,0,2157.0945,0
24,0,,0,1326.791,2055.535,0
25,0,,0,0,2078.5615,0
26,0,1752.412,2058.6455,2206.4465,1742.788,2380.6015
27,0,,0,2412.558,1882.591,2633.2675
28,0,,0,2522.161,1960.0875,0
29,0,,0,2305.326,1816.974,2511.0445
30,0,,0,2226.124,1758.553,2405.946
31,0,1528.9335,1790.4225,1919.1475,1526.9225,1988.6175
32,0,1565.4445,1819.42,1949.8595,1560.671,2038.5305
33,0,1170.5115,1329.417,1447.763,1173.2515,1371.984
34,0,1265.6985,1441.2635,1544.8175,1265.746,1536.5865
35,0,0,0,2129.7075,1688.441,0
36,0,755.21,876.2735,1910.0115,1533.4835,1992.622
37,0,1417.7765,1641.843,1744.697,1415.8255,1807.629
38,0,,,0,0,0
39,0,,,950.3065,1545.542,0
40,0,,,0,0,0
41,0,,,0,0,0
42,0,,,0,0,0
43,0,,,877.2135,1466.4725,0
44,0,,,0,0,0
