DFB	VOLUME FRACTION	TEMP BB	TEMP BB	TEMP BB	TEMP BB	TEMP BB
mm	arb. unit	K	K	K	K	K
		FE DRUDE 	FEO HENNING	FEO SHVAREV	FEO TRIAUD FE2O3	FEO TRIAUD FE3O4
2	30.9965	1736.341		2183.918	1727.123	1727.123
3	91.5315	1662.2025	1941.752	2081.2525	1655.083	1655.083
4	132.8	1712.7805	2004.2695	2149.8015	1704.149	1704.149
5	159.589	1719.802	2014.8065	2160.239	1711.0855	1711.0855
6	163.206	1719.9585	2014.7185	2160.9195	1711.242	1711.242
7	124.667	1736.096	2035.41	2183.456	1726.944	1726.944
8	81.382	1741.264	2042.9945	2193.3775	1732.2005	1732.2005
9	44.7275	1758.3445		2220.822	1749.1105	1749.1105
40	40.1355	1160.374	1297.4605	1382.6795	1159.5415	1376.892
41	33.7685	1301.8395		1574.4365	1299.7015	1584.164
44	18.609	1294.166		745.2125	1292.027	740.987
