DFB	VOLUME FRACTION	TEMP BB	TEMP BB	TEMP BB	TEMP BB	TEMP BB
mm	arb. unit	K	K	K	K	K
		FE DRUDE 	FEO HENNING	FEO SHVAREV	FEO TRIAUD FE2O3	FEO TRIAUD FE3O4
4	196.3285	1430.504	1604.8005	1767.144	1429.86	1698.8635
5	341.6645	1653.5715	1877.918	1956.176	1650.4435	2043.966
6	706.9615	1691.1205	1924.0485	2000.3625	1687.508	2103.806
7	981.907	1722.438	1963.7645	2051.8635	1718.4225	2155.734
8	978.569	1766.197	2019.408	2114.3495	1761.6435	2228.37
9	681.6145	1828.917	2099.6165	2197.0245	1823.5565	2334.259
10	290.865	1916.1635	2212.7555	2326.3915	1909.63	2486.0045
11	18.947	2382.213	2848.046	3060.4585	2368.2495	3407.9615
