DFB	VOLUME FRACTION	TEMP BB	TEMP BB	TEMP BB	TEMP BB	TEMP BB
mm	arb. unit	K	K	K	K	K
		FE DRUDE 	FEO HENNING	FEO SHVAREV	FEO TRIAUD FE2O3	FEO TRIAUD FE3O4
13	62.7505	1666.241	1940.4315	2087.47	1658.909	2203.8125
14	114.4605	1712.9905	1998.7755	2151.997	1704.3455	2284.3725
15	168.189	1746.459	2042.4945	2201.6805	1737.1055	2343.7575
16	203.6415	1798.9005	2110.4755	2278.703	1788.2615	2437.908
17	239.208	1823.2065	2142.3555	2315.069	1811.9775	2482.176
18	239.484	1844.1505	2170.114	2346.9125	1832.4365	2520.906
19	221.7465	1855.3655	2185.043	2364.0675	1843.3905	2542.041
20	197.1165	1854.437	2183.8125	2362.853	1842.4955	2540.2795
21	176.3645	1840.87	2165.825	2342.29	1829.257	2515.0935
22	156.378	1821.359	2140.1565	2313.124	1810.233	2479.217
23	150.3425	1776.0115	2081.296	2246.4765	1766.0635	2397.494
24	133.097	1744.6715	2041.2715	2201.7905	1735.577	2341.238
25	131.487	1712.6765	1998.113	2152.5395	1704.0815	2282.8335
26	121.1555	1668.1725	1940.749	2089.227	1660.6175	2203.4985
27	126.546	1598.141	1851.884	1990.278	1592.1645	2083.122
28	113.441	1581.4305	1829.076	1964.827	1575.5795	2052.455
29	114.237	1529.118	1761.6945	1889.7935	1524.139	1964.6005
30	109.0055	1486.8025	1707.8525	1831.735	1482.5735	1890.7195
31	114.332	1436.21	1643.114	1760.466	1432.7035	1808.2135
32	109.6675	1374.919	1566.731	1678.5635	1372.445	1707.1205
33	74.5975	1451.9265	1661.2775	1780.702	1447.989	1831.4295
34	66.3535	1479.9365	1695.0145	1815.4885	1475.255	1879.8455
35	48.647	1431.4815	1636.5895	1754.1925	1428.0415	1799.106
36	53.98	1399.0025	1596.2535	1706.1475	1395.802	1750.9065
37	72.296	1305.3845	1478.4035	1580.087	1303.458	1598.6105
38	54.3065	1354.721	1539.185	1646.3495	1352.1195	1675.7935
39	71.502	1163.769	1301.726	1390.3795	1163.1315	1379.9115
