DFB	Volume fraction	Volume fraction max	Volume fraction min
mm	a.u.	a.u.	a.u.
3	54.1005	87.571	0.179
4	60.952	155.472	0.63
5	169.3565	246.277	104.585
6	275.6285	332.615	188.616
7	285.8695	315.182	212.022
8	202.324	277.094	144.004
9	73.0875	205.426	3.507
10	35.4425	96.111	0.377
11	29.4465	35.677	-0.001
12	32.297	34.477	2.047
13	25.1945	29.351	8.154
14	26.243	28.159	6.538
15	14.2535	24.929	6.724
16	24.4215	33.724	10.83
17	8.752	34.363	7.673
18	25.355	56.065	6.889
19	26.343	63.937	18.765
20	30.6185	56.672	15.286
21	34.173	58.051	10.295
22	19.129	51.096	6.083
23	23.304	54.852	5.278
24	32.08	66.941	5.815
25	31.8175	73.298	0.931
26	51.806	101.954	1.418
27	29.9455	73.075	1.041
28	33.314	65.379	1.18
29	62.962	123.39	2.11
