"T","arc_length","Points:0","Points:1","Points:2"
426.8,0,0.01,0,0
475.41,0.000182,0.010182,0,0
515.88,0.000364,0.010364,0,0
551.31,0.000546,0.010546,0,0
583.27,0.000728,0.010728,0,0
612.7,0.00091,0.01091,0,0
640.18,0.001092,0.011092,0,0
666.13,0.001274,0.011274,0,0
690.83,0.001456,0.011456,0,0
714.5,0.001638,0.011638,0,0
737.29,0.00182,0.01182,0,0
759.33,0.002002,0.012002,0,0
780.7,0.002184,0.012184,0,0
801.47,0.002366,0.012366,0,0
821.69,0.002548,0.012548,0,0
841.4,0.00273,0.01273,0,0
860.62,0.002912,0.012912,0,0
879.4,0.003094,0.013094,0,0
897.74,0.003276,0.013276,0,0
915.69,0.003458,0.013458,0,0
933.25,0.00364,0.01364,0,0
950.44,0.003822,0.013822,0,0
967.28,0.004004,0.014004,0,0
983.79,0.004186,0.014186,0,0
999.97,0.004368,0.014368,0,0
1015.8,0.00455,0.01455,0,0
1031.4,0.004732,0.014732,0,0
1046.7,0.004914,0.014914,0,0
1061.7,0.005096,0.015096,0,0
1076.4,0.005278,0.015278,0,0
1090.8,0.00546,0.01546,0,0
1105,0.005642,0.015642,0,0
1119,0.005824,0.015824,0,0
1132.7,0.006006,0.016006,0,0
1146.3,0.006188,0.016188,0,0
1159.6,0.00637,0.01637,0,0
1172.7,0.006552,0.016552,0,0
1185.7,0.006734,0.016734,0,0
1198.5,0.006916,0.016916,0,0
1211.1,0.007098,0.017098,0,0
1223.6,0.00728,0.01728,0,0
1236,0.007462,0.017462,0,0
1248.2,0.007644,0.017644,0,0
1260.3,0.007826,0.017826,0,0
1272.3,0.008008,0.018008,0,0
1284.2,0.00819,0.01819,0,0
1295.9,0.008372,0.018372,0,0
1307.6,0.008554,0.018554,0,0
1319.1,0.008736,0.018736,0,0
1330.5,0.008918,0.018918,0,0
1341.8,0.0091,0.0191,0,0
1353,0.009282,0.019282,0,0
1364,0.009464,0.019464,0,0
1374.9,0.009646,0.019646,0,0
1385.7,0.009828,0.019828,0,0
1396.3,0.01001,0.02001,0,0
1406.8,0.010192,0.020192,0,0
1417.2,0.010374,0.020374,0,0
1427.4,0.010556,0.020556,0,0
1437.4,0.010738,0.020738,0,0
1447.3,0.01092,0.02092,0,0
1457,0.011102,0.021102,0,0
1466.6,0.011284,0.021284,0,0
1476,0.011466,0.021466,0,0
1485.2,0.011648,0.021648,0,0
1494.2,0.01183,0.02183,0,0
1503,0.012012,0.022012,0,0
1511.7,0.012194,0.022194,0,0
1520.2,0.012376,0.022376,0,0
1528.4,0.012558,0.022558,0,0
1536.5,0.01274,0.02274,0,0
1544.4,0.012922,0.022922,0,0
1552,0.013104,0.023104,0,0
1559.5,0.013286,0.023286,0,0
1566.7,0.013468,0.023468,0,0
1573.8,0.01365,0.02365,0,0
1580.6,0.013832,0.023832,0,0
1587.2,0.014014,0.024014,0,0
1593.7,0.014196,0.024196,0,0
1599.9,0.014378,0.024378,0,0
1605.9,0.01456,0.02456,0,0
1611.7,0.014742,0.024742,0,0
1617.2,0.014924,0.024924,0,0
1622.6,0.015106,0.025106,0,0
1627.8,0.015288,0.025288,0,0
1632.7,0.01547,0.02547,0,0
1637.5,0.015652,0.025652,0,0
1642.1,0.015834,0.025834,0,0
1646.4,0.016016,0.026016,0,0
1650.6,0.016198,0.026198,0,0
1654.6,0.01638,0.02638,0,0
1658.4,0.016562,0.026562,0,0
1662,0.016744,0.026744,0,0
1665.4,0.016926,0.026926,0,0
1668.6,0.017108,0.027108,0,0
1671.7,0.01729,0.02729,0,0
1674.6,0.017472,0.027472,0,0
1677.3,0.017654,0.027654,0,0
1679.9,0.017836,0.027836,0,0
1682.3,0.018018,0.028018,0,0
1684.5,0.0182,0.0282,0,0
1686.6,0.018382,0.028382,0,0
1688.5,0.018564,0.028564,0,0
1690.3,0.018746,0.028746,0,0
1691.9,0.018928,0.028928,0,0
1693.4,0.01911,0.02911,0,0
1694.8,0.019292,0.029292,0,0
1696,0.019474,0.029474,0,0
1697,0.019656,0.029656,0,0
1698,0.019838,0.029838,0,0
1698.8,0.02002,0.03002,0,0
1699.5,0.020202,0.030202,0,0
1700,0.020384,0.030384,0,0
1700.5,0.020566,0.030566,0,0
1700.8,0.020748,0.030748,0,0
1701,0.02093,0.03093,0,0
1701.1,0.021112,0.031112,0,0
1701.1,0.021294,0.031294,0,0
1700.9,0.021476,0.031476,0,0
1700.7,0.021658,0.031658,0,0
1700.4,0.02184,0.03184,0,0
1699.9,0.022022,0.032022,0,0
1699.4,0.022204,0.032204,0,0
1698.7,0.022386,0.032386,0,0
1698,0.022568,0.032568,0,0
1697.1,0.02275,0.03275,0,0
1696.2,0.022932,0.032932,0,0
1695.2,0.023114,0.033114,0,0
1694.1,0.023296,0.033296,0,0
1692.9,0.023478,0.033478,0,0
1691.6,0.02366,0.03366,0,0
1690.2,0.023842,0.033842,0,0
1688.7,0.024024,0.034024,0,0
1687.2,0.024206,0.034206,0,0
1685.6,0.024388,0.034388,0,0
1683.8,0.02457,0.03457,0,0
1682.1,0.024752,0.034752,0,0
1680.2,0.024934,0.034934,0,0
1678.2,0.025116,0.035116,0,0
1676.2,0.025298,0.035298,0,0
1674.1,0.02548,0.03548,0,0
1672,0.025662,0.035662,0,0
1669.7,0.025844,0.035844,0,0
1667.4,0.026026,0.036026,0,0
1665,0.026208,0.036208,0,0
1662.5,0.02639,0.03639,0,0
1660,0.026572,0.036572,0,0
1657.4,0.026754,0.036754,0,0
1654.7,0.026936,0.036936,0,0
1652,0.027118,0.037118,0,0
1649.2,0.0273,0.0373,0,0
1646.3,0.027482,0.037482,0,0
1643.4,0.027664,0.037664,0,0
1640.4,0.027846,0.037846,0,0
1637.3,0.028028,0.038028,0,0
1634.2,0.02821,0.03821,0,0
1631,0.028392,0.038392,0,0
1627.8,0.028574,0.038574,0,0
1624.4,0.028756,0.038756,0,0
1621.1,0.028938,0.038938,0,0
1617.6,0.02912,0.03912,0,0
1614.1,0.029302,0.039302,0,0
1610.6,0.029484,0.039484,0,0
1607,0.029666,0.039666,0,0
1603.3,0.029848,0.039848,0,0
1599.6,0.03003,0.04003,0,0
1595.8,0.030212,0.040212,0,0
1591.9,0.030394,0.040394,0,0
1588,0.030576,0.040576,0,0
1584,0.030758,0.040758,0,0
1580,0.03094,0.04094,0,0
1575.9,0.031122,0.041122,0,0
1571.8,0.031304,0.041304,0,0
1567.6,0.031486,0.041486,0,0
1563.4,0.031668,0.041668,0,0
1559,0.03185,0.04185,0,0
1554.7,0.032032,0.042032,0,0
1550.3,0.032214,0.042214,0,0
1545.8,0.032396,0.042396,0,0
1541.3,0.032578,0.042578,0,0
1536.7,0.03276,0.04276,0,0
1532.1,0.032942,0.042942,0,0
1527.4,0.033124,0.043124,0,0
1522.7,0.033306,0.043306,0,0
1517.9,0.033488,0.043488,0,0
1513.1,0.03367,0.04367,0,0
1508.2,0.033852,0.043852,0,0
1503.3,0.034034,0.044034,0,0
1498.3,0.034216,0.044216,0,0
1493.2,0.034398,0.044398,0,0
1488.1,0.03458,0.04458,0,0
1483,0.034762,0.044762,0,0
1477.8,0.034944,0.044944,0,0
1472.6,0.035126,0.045126,0,0
1467.3,0.035308,0.045308,0,0
1461.9,0.03549,0.04549,0,0
1456.5,0.035672,0.045672,0,0
1451.1,0.035854,0.045854,0,0
1445.6,0.036036,0.046036,0,0
1440.1,0.036218,0.046218,0,0
1434.5,0.0364,0.0464,0,0
1428.9,0.036582,0.046582,0,0
1423.2,0.036764,0.046764,0,0
1417.5,0.036946,0.046946,0,0
1411.7,0.037128,0.047128,0,0
1405.9,0.03731,0.04731,0,0
1400,0.037492,0.047492,0,0
1394.1,0.037674,0.047674,0,0
1388.2,0.037856,0.047856,0,0
1382.2,0.038038,0.048038,0,0
1376.2,0.03822,0.04822,0,0
1370.1,0.038402,0.048402,0,0
1363.9,0.038584,0.048584,0,0
1357.8,0.038766,0.048766,0,0
1351.5,0.038948,0.048948,0,0
1345.3,0.03913,0.04913,0,0
1339,0.039312,0.049312,0,0
1332.7,0.039494,0.049494,0,0
1326.3,0.039676,0.049676,0,0
1319.8,0.039858,0.049858,0,0
1313.4,0.04004,0.05004,0,0
1306.9,0.040222,0.050222,0,0
1300.3,0.040404,0.050404,0,0
1293.7,0.040586,0.050586,0,0
1287.1,0.040768,0.050768,0,0
1280.4,0.04095,0.05095,0,0
1273.7,0.041132,0.051132,0,0
1267,0.041314,0.051314,0,0
1260.2,0.041496,0.051496,0,0
1253.4,0.041678,0.051678,0,0
1246.6,0.04186,0.05186,0,0
1239.7,0.042042,0.052042,0,0
1232.8,0.042224,0.052224,0,0
1225.8,0.042406,0.052406,0,0
1218.9,0.042588,0.052588,0,0
1211.8,0.04277,0.05277,0,0
1204.8,0.042952,0.052952,0,0
1197.7,0.043134,0.053134,0,0
1190.6,0.043316,0.053316,0,0
1183.5,0.043498,0.053498,0,0
1176.3,0.04368,0.05368,0,0
1169.1,0.043862,0.053862,0,0
1161.9,0.044044,0.054044,0,0
1154.6,0.044226,0.054226,0,0
1147.3,0.044408,0.054408,0,0
1140,0.04459,0.05459,0,0
1132.7,0.044772,0.054772,0,0
1125.3,0.044954,0.054954,0,0
1118,0.045136,0.055136,0,0
1110.6,0.045318,0.055318,0,0
1103.1,0.0455,0.0555,0,0
1095.7,0.045682,0.055682,0,0
1088.3,0.045864,0.055864,0,0
1080.8,0.046046,0.056046,0,0
1073.3,0.046228,0.056228,0,0
1065.8,0.04641,0.05641,0,0
1058.3,0.046592,0.056592,0,0
1050.8,0.046774,0.056774,0,0
1043.2,0.046956,0.056956,0,0
1035.7,0.047138,0.057138,0,0
1028.1,0.04732,0.05732,0,0
1020.5,0.047502,0.057502,0,0
1012.9,0.047684,0.057684,0,0
1005.3,0.047866,0.057866,0,0
997.76,0.048048,0.058048,0,0
990.15,0.04823,0.05823,0,0
982.55,0.048412,0.058412,0,0
974.94,0.048594,0.058594,0,0
967.33,0.048776,0.058776,0,0
959.72,0.048958,0.058958,0,0
952.12,0.04914,0.05914,0,0
944.51,0.049322,0.059322,0,0
936.9,0.049504,0.059504,0,0
929.3,0.049686,0.059686,0,0
921.7,0.049868,0.059868,0,0
914.11,0.05005,0.06005,0,0
906.53,0.050232,0.060232,0,0
898.95,0.050414,0.060414,0,0
891.39,0.050596,0.060596,0,0
883.84,0.050778,0.060778,0,0
876.29,0.05096,0.06096,0,0
868.76,0.051142,0.061142,0,0
861.25,0.051324,0.061324,0,0
853.75,0.051506,0.061506,0,0
846.27,0.051688,0.061688,0,0
838.81,0.05187,0.06187,0,0
831.37,0.052052,0.062052,0,0
823.94,0.052234,0.062234,0,0
816.55,0.052416,0.062416,0,0
809.17,0.052598,0.062598,0,0
801.82,0.05278,0.06278,0,0
794.5,0.052962,0.062962,0,0
787.19,0.053144,0.063144,0,0
779.93,0.053326,0.063326,0,0
772.69,0.053508,0.063508,0,0
765.48,0.05369,0.06369,0,0
758.31,0.053872,0.063872,0,0
751.17,0.054054,0.064054,0,0
744.06,0.054236,0.064236,0,0
737,0.054418,0.064418,0,0
729.97,0.0546,0.0646,0,0
722.97,0.054782,0.064782,0,0
716.03,0.054964,0.064964,0,0
709.11,0.055146,0.065146,0,0
702.25,0.055328,0.065328,0,0
695.43,0.05551,0.06551,0,0
688.64,0.055692,0.065692,0,0
681.93,0.055874,0.065874,0,0
675.24,0.056056,0.066056,0,0
668.61,0.056238,0.066238,0,0
662.04,0.05642,0.06642,0,0
655.5,0.056602,0.066602,0,0
649.03,0.056784,0.066784,0,0
642.61,0.056966,0.066966,0,0
636.23,0.057148,0.067148,0,0
629.94,0.05733,0.06733,0,0
623.67,0.057512,0.067512,0,0
617.49,0.057694,0.067694,0,0
611.36,0.057876,0.067876,0,0
605.27,0.058058,0.068058,0,0
599.28,0.05824,0.06824,0,0
593.32,0.058422,0.068422,0,0
587.44,0.058604,0.068604,0,0
581.62,0.058786,0.068786,0,0
575.86,0.058968,0.068968,0,0
570.19,0.05915,0.06915,0,0
564.55,0.059332,0.069332,0,0
559.02,0.059514,0.069514,0,0
553.54,0.059696,0.069696,0,0
548.12,0.059878,0.069878,0,0
542.79,0.06006,0.07006,0,0
537.5,0.060242,0.070242,0,0
532.33,0.060424,0.070424,0,0
527.19,0.060606,0.070606,0,0
522.15,0.060788,0.070788,0,0
517.18,0.06097,0.07097,0,0
512.27,0.061152,0.071152,0,0
507.45,0.061334,0.071334,0,0
502.68,0.061516,0.071516,0,0
498.03,0.061698,0.071698,0,0
493.41,0.06188,0.07188,0,0
488.9,0.062062,0.072062,0,0
484.45,0.062244,0.072244,0,0
480.08,0.062426,0.072426,0,0
475.8,0.062608,0.072608,0,0
471.56,0.06279,0.07279,0,0
467.44,0.062972,0.072972,0,0
463.35,0.063154,0.073154,0,0
459.39,0.063336,0.073336,0,0
455.47,0.063518,0.073518,0,0
451.64,0.0637,0.0737,0,0
447.89,0.063882,0.073882,0,0
444.2,0.064064,0.074064,0,0
440.61,0.064246,0.074246,0,0
437.06,0.064428,0.074428,0,0
433.62,0.06461,0.07461,0,0
430.21,0.064792,0.074792,0,0
426.94,0.064974,0.074974,0,0
423.68,0.065156,0.075156,0,0
420.54,0.065338,0.075338,0,0
417.44,0.06552,0.07552,0,0
414.43,0.065702,0.075702,0,0
411.48,0.065884,0.075884,0,0
408.61,0.066066,0.076066,0,0
405.8,0.066248,0.076248,0,0
403.06,0.06643,0.07643,0,0
400.4,0.066612,0.076612,0,0
397.78,0.066794,0.076794,0,0
395.25,0.066976,0.076976,0,0
392.76,0.067158,0.077158,0,0
390.37,0.06734,0.07734,0,0
388,0.067522,0.077522,0,0
385.74,0.067704,0.077704,0,0
383.49,0.067886,0.077886,0,0
381.35,0.068068,0.078068,0,0
379.22,0.06825,0.07825,0,0
377.2,0.068432,0.078432,0,0
375.19,0.068614,0.078614,0,0
373.27,0.068796,0.078796,0,0
371.37,0.068978,0.078978,0,0
369.56,0.06916,0.07916,0,0
367.77,0.069342,0.079342,0,0
366.06,0.069524,0.079524,0,0
364.37,0.069706,0.079706,0,0
362.75,0.069888,0.079888,0,0
361.16,0.07007,0.08007,0,0
